t,x,y,ref_x,ref_y,err,v,w,V,I,%
0.002,0.0000,-0.0000,0.0000,0.0000,0.0000,0.153,-0.098,11.98,0.000,82.2
0.014,0.0000,0.0000,0.0000,0.0000,0.0000,0.176,-0.028,11.98,0.000,82.2
0.054,0.0000,-0.0000,0.0000,0.0000,0.0000,0.180,-0.014,11.60,0.000,61.1
0.122,0.0006,0.0000,0.0006,0.0000,0.0000,0.180,-0.014,11.63,0.000,62.8
0.162,0.0086,0.0001,0.0086,0.0000,0.0001,0.180,-0.031,11.73,0.000,68.3
0.206,0.0158,0.0002,0.0158,0.0000,0.0002,0.180,-0.020,11.74,0.000,68.9
0.267,0.0233,0.0003,0.0233,0.0000,0.0003,0.180,0.006,11.73,0.000,68.3
0.312,0.0343,0.0004,0.0343,0.0000,0.0004,0.180,-0.025,11.73,0.000,68.3
0.355,0.0421,0.0004,0.0421,0.0000,0.0004,0.180,-0.023,11.74,0.000,68.9
0.417,0.0499,0.0005,0.0499,0.0000,0.0005,0.180,0.001,11.76,0.000,70.0
0.500,0.0614,0.0005,0.0614,0.0000,0.0005,0.180,-0.017,11.74,0.000,68.9
0.520,0.0688,0.0005,0.0688,0.0000,0.0005,0.180,-0.015,11.74,0.000,68.9
0.612,0.0765,0.0006,0.0765,0.0000,0.0006,0.180,-0.015,11.71,0.000,67.2
0.614,0.0875,0.0006,0.0875,0.0000,0.0006,0.180,-0.015,11.71,0.000,67.2
0.662,0.0951,0.0006,0.0951,0.0000,0.0006,0.180,-0.015,11.73,0.000,68.3
0.727,0.1028,0.0007,0.1028,0.0000,0.0007,0.180,-0.021,11.71,0.000,67.2
0.772,0.1144,0.0007,0.1144,0.0000,0.0007,0.180,-0.016,11.74,0.000,68.9
0.816,0.1216,0.0007,0.1216,0.0000,0.0007,0.180,-0.012,11.71,0.000,67.2
0.867,0.1293,0.0007,0.1293,0.0000,0.0007,0.180,-0.008,11.73,0.000,68.3
0.913,0.1408,0.0008,0.1408,0.0000,0.0008,0.180,-0.014,11.74,0.000,68.9
0.957,0.1485,0.0008,0.1485,0.0000,0.0008,0.180,-0.003,11.71,0.000,67.2
1.015,0.1563,0.0008,0.1563,0.0000,0.0008,0.180,0.006,11.73,0.000,68.3
1.056,0.1679,0.0008,0.1679,0.0000,0.0008,0.180,-0.005,11.74,0.000,68.9
1.117,0.1756,0.0008,0.1756,0.0000,0.0008,0.180,0.000,11.71,0.000,67.2
1.162,0.1832,0.0008,0.1832,0.0000,0.0008,0.180,-0.006,11.71,0.000,67.2
1.222,0.1949,0.0008,0.1949,0.0000,0.0008,0.180,-0.006,11.73,0.000,68.3
1.267,0.2028,0.0008,0.2028,0.0000,0.0008,0.180,-0.012,11.73,0.000,68.3
1.312,0.2140,0.0008,0.2140,0.0000,0.0008,0.180,-0.007,11.71,0.000,67.2
1.355,0.2213,0.0008,0.2213,0.0000,0.0008,0.180,-0.007,11.73,0.000,68.3
1.415,0.2292,0.0008,0.2292,0.0000,0.0008,0.180,-0.007,11.73,0.000,68.3
1.455,0.2404,0.0008,0.2404,0.0000,0.0008,0.180,-0.001,11.71,0.000,67.2
1.517,0.2481,0.0008,0.2481,0.0000,0.0008,0.180,-0.004,11.73,0.000,68.3
1.562,0.2559,0.0008,0.2559,0.0000,0.0008,0.180,-0.005,11.74,0.000,68.9
1.605,0.2672,0.0007,0.2672,0.0000,0.0007,0.180,-0.005,11.73,0.000,68.3
1.665,0.2748,0.0007,0.2748,0.0000,0.0007,0.180,-0.002,11.73,0.000,68.3
1.726,0.2859,0.0007,0.2859,0.0000,0.0007,0.180,-0.001,11.76,0.000,70.0
1.766,0.2936,0.0007,0.2936,0.0000,0.0007,0.180,-0.001,11.73,0.000,68.3
1.815,0.3008,0.0007,0.3008,0.0000,0.0007,0.180,-0.002,11.73,0.000,68.3
1.862,0.3123,0.0006,0.3123,0.0000,0.0006,0.180,-0.003,11.73,0.000,68.3
1.924,0.3196,0.0006,0.3196,0.0000,0.0006,0.180,-0.005,11.73,0.000,68.3
1.997,0.3311,0.0006,0.3311,0.0000,0.0006,0.180,-0.004,11.73,0.000,68.3
2.007,0.3387,0.0006,0.3387,0.0000,0.0006,0.180,-0.007,11.74,0.000,68.9
2.058,0.3465,0.0006,0.3465,0.0000,0.0006,0.180,0.001,11.74,0.000,68.9
2.113,0.3541,0.0006,0.3541,0.0000,0.0006,0.180,-0.004,11.74,0.000,68.9
2.159,0.3657,0.0006,0.3657,0.0000,0.0006,0.180,0.004,11.73,0.000,68.3
2.215,0.3735,0.0006,0.3735,0.0000,0.0006,0.180,-0.002,11.74,0.000,68.9
2.265,0.3812,0.0005,0.3812,0.0000,0.0005,0.180,-0.000,11.76,0.000,70.0
2.312,0.3928,0.0005,0.3928,0.0000,0.0005,0.180,0.002,11.73,0.000,68.3
2.354,0.4005,0.0005,0.4005,0.0000,0.0005,0.180,0.004,11.78,0.000,71.1
2.415,0.4083,0.0004,0.4083,0.0000,0.0004,0.180,0.004,11.76,0.000,70.0
2.454,0.4200,0.0004,0.4200,0.0000,0.0004,0.180,0.003,11.73,0.000,68.3
2.516,0.4278,0.0004,0.4278,0.0000,0.0004,0.180,-0.000,11.74,0.000,68.9
2.564,0.4357,0.0004,0.4357,0.0000,0.0004,0.180,0.003,11.74,0.000,68.9
2.622,0.4472,0.0003,0.4472,0.0000,0.0003,0.180,0.003,11.71,0.000,67.2
2.656,0.4550,0.0003,0.4550,0.0000,0.0003,0.180,0.003,11.74,0.000,68.9
2.717,0.4628,0.0003,0.4628,0.0000,0.0003,0.180,0.006,11.74,0.000,68.9
2.756,0.4744,0.0002,0.4744,0.0000,0.0002,0.180,0.005,11.73,0.000,68.3
2.817,0.4820,0.0002,0.4820,0.0000,0.0002,0.180,0.013,11.74,0.000,68.9
2.865,0.4898,0.0002,0.4898,0.0000,0.0002,0.180,0.008,11.74,0.000,68.9
2.912,0.5014,0.0001,0.5014,0.0000,0.0001,0.180,0.007,11.74,0.000,68.9
2.998,0.5089,0.0001,0.5089,0.0000,0.0001,0.180,0.007,11.73,0.000,68.3
3.010,0.5200,0.0000,0.5200,0.0000,0.0000,0.180,0.006,11.74,0.000,68.9
3.056,0.5273,0.0000,0.5273,0.0000,0.0000,0.180,0.003,11.73,0.000,68.3
3.134,0.5349,0.0000,0.5349,0.0000,0.0000,0.180,0.005,11.73,0.000,68.3
3.166,0.5460,-0.0000,0.5460,0.0000,0.0000,0.180,0.003,11.74,0.000,68.9
3.216,0.5538,-0.0000,0.5538,0.0000,0.0000,0.180,0.005,11.73,0.000,68.3
3.265,0.5614,-0.0001,0.5614,0.0000,0.0001,0.180,0.006,11.71,0.000,67.2
3.309,0.5726,-0.0001,0.5726,0.0000,0.0001,0.180,0.017,11.74,0.000,68.9
3.355,0.5804,-0.0001,0.5804,0.0000,0.0001,0.180,0.009,11.74,0.000,68.9
3.414,0.5880,-0.0002,0.5880,0.0000,0.0002,0.180,0.010,11.71,0.000,67.2
3.453,0.5997,-0.0002,0.5997,0.0000,0.0002,0.180,0.012,11.74,0.000,68.9
3.532,0.6070,-0.0003,0.6070,0.0000,0.0003,0.180,0.011,11.74,0.000,68.9
3.559,0.6183,-0.0003,0.6183,0.0000,0.0003,0.180,0.001,11.73,0.000,68.3
3.607,0.6260,-0.0003,0.6260,0.0000,0.0003,0.180,-0.000,11.74,0.000,68.9
3.664,0.6339,-0.0003,0.6339,0.0000,0.0003,0.180,0.007,11.76,0.000,70.0
3.724,0.6456,-0.0003,0.6456,0.0000,0.0003,0.180,0.006,11.73,0.000,68.3
3.757,0.6533,-0.0004,0.6533,0.0000,0.0004,0.180,0.007,11.73,0.000,68.3
3.816,0.6610,-0.0004,0.6610,0.0000,0.0004,0.180,0.015,11.73,0.000,68.3
3.860,0.6727,-0.0004,0.6727,0.0000,0.0004,0.180,0.008,11.73,0.000,68.3
3.922,0.6804,-0.0004,0.6804,0.0000,0.0004,0.180,0.007,11.73,0.000,68.3
3.997,0.6881,-0.0004,0.6881,0.0000,0.0004,0.180,0.009,11.73,0.000,68.3
4.015,0.6993,-0.0005,0.6993,0.0000,0.0005,0.180,0.006,11.76,0.000,70.0
4.057,0.7069,-0.0005,0.7069,0.0000,0.0005,0.180,0.009,11.74,0.000,68.9
4.117,0.7145,-0.0005,0.7145,0.0000,0.0005,0.180,0.002,11.73,0.000,68.3
4.155,0.7261,-0.0005,0.7261,0.0000,0.0005,0.180,0.009,11.74,0.000,68.9
4.219,0.7338,-0.0005,0.7338,0.0000,0.0005,0.180,0.002,11.74,0.000,68.9
4.265,0.7413,-0.0005,0.7413,0.0000,0.0005,0.180,0.006,11.74,0.000,68.9
4.312,0.7529,-0.0005,0.7529,0.0000,0.0005,0.180,0.005,11.76,0.000,70.0
