t,x,y,ref_x,ref_y,err,v,w,V,I,%
0.014,-0.0000,0.0000,0.0000,0.0000,0.0000,0.180,-0.041,12.02,0.000,84.4
0.040,-0.0000,0.0000,0.0000,0.0000,0.0000,0.180,-0.041,12.02,0.000,84.4
0.101,-0.0000,0.0000,0.0000,0.0000,0.0000,0.180,-0.041,11.67,0.000,65.0
0.142,0.0031,0.0000,0.0031,0.0000,0.0000,0.180,-0.039,11.78,0.000,71.1
0.189,0.0097,0.0000,0.0097,0.0000,0.0000,0.180,-0.042,11.84,0.000,74.4
0.251,0.0173,-0.0000,0.0173,0.0000,0.0000,0.180,-0.040,11.80,0.000,72.2
0.295,0.0290,-0.0001,0.0290,0.0000,0.0001,0.180,-0.029,11.82,0.000,73.3
0.352,0.0364,-0.0001,0.0364,0.0000,0.0001,0.180,-0.029,11.82,0.000,73.3
0.414,0.0440,-0.0002,0.0440,0.0000,0.0002,0.180,-0.025,11.80,0.000,72.2
0.439,0.0556,-0.0003,0.0556,0.0000,0.0003,0.180,-0.019,11.84,0.000,74.4
0.500,0.0636,-0.0004,0.0636,0.0000,0.0004,0.180,-0.014,11.82,0.000,73.3
0.552,0.0711,-0.0005,0.0711,0.0000,0.0005,0.180,-0.011,11.82,0.000,73.3
0.614,0.0827,-0.0006,0.0827,0.0000,0.0006,0.180,-0.008,11.80,0.000,72.2
0.648,0.0901,-0.0008,0.0901,0.0000,0.0008,0.180,-0.004,11.80,0.000,72.2
0.700,0.0978,-0.0009,0.0978,0.0000,0.0009,0.180,-0.003,11.80,0.000,72.2
0.739,0.1094,-0.0011,0.1094,0.0000,0.0011,0.180,-0.003,11.80,0.000,72.2
0.804,0.1171,-0.0012,0.1171,0.0000,0.0012,0.180,-0.002,11.82,0.000,73.3
0.845,0.1248,-0.0013,0.1248,0.0000,0.0013,0.180,0.001,11.82,0.000,73.3
0.895,0.1363,-0.0015,0.1363,0.0000,0.0015,0.180,0.001,11.80,0.000,72.2
0.939,0.1440,-0.0017,0.1440,0.0000,0.0017,0.180,0.001,11.82,0.000,73.3
1.005,0.1517,-0.0018,0.1517,0.0000,0.0018,0.180,0.002,11.82,0.000,73.3
1.039,0.1633,-0.0020,0.1633,0.0000,0.0020,0.180,0.001,11.80,0.000,72.2
1.102,0.1710,-0.0021,0.1710,0.0000,0.0021,0.180,-0.000,11.82,0.000,73.3
1.142,0.1821,-0.0023,0.1821,0.0000,0.0023,0.180,-0.001,11.80,0.000,72.2
1.204,0.1895,-0.0024,0.1895,0.0000,0.0024,0.180,-0.002,11.80,0.000,72.2
1.252,0.1972,-0.0025,0.1972,0.0000,0.0025,0.180,-0.005,11.82,0.000,73.3
1.297,0.2088,-0.0027,0.2088,0.0000,0.0027,0.180,-0.007,11.82,0.000,73.3
1.340,0.2166,-0.0028,0.2166,0.0000,0.0028,0.180,-0.007,11.80,0.000,72.2
1.407,0.2243,-0.0029,0.2243,0.0000,0.0029,0.180,-0.007,11.80,0.000,72.2
1.444,0.2359,-0.0031,0.2359,0.0000,0.0031,0.180,-0.007,11.82,0.000,73.3
1.498,0.2438,-0.0032,0.2438,0.0000,0.0032,0.180,-0.005,11.80,0.000,72.2
1.549,0.2514,-0.0033,0.2514,0.0000,0.0033,0.180,0.000,11.80,0.000,72.2
1.592,0.2630,-0.0035,0.2630,0.0000,0.0035,0.180,0.000,11.82,0.000,73.3
1.642,0.2708,-0.0037,0.2708,0.0000,0.0037,0.180,0.003,11.82,0.000,73.3
1.703,0.2785,-0.0038,0.2785,0.0000,0.0038,0.180,0.003,11.82,0.000,73.3
1.742,0.2901,-0.0040,0.2901,0.0000,0.0040,0.180,0.005,11.82,0.000,73.3
1.793,0.2978,-0.0042,0.2978,0.0000,0.0042,0.180,0.006,11.82,0.000,73.3
1.851,0.3055,-0.0044,0.3055,0.0000,0.0044,0.180,0.007,11.82,0.000,73.3
1.898,0.3170,-0.0046,0.3170,0.0000,0.0046,0.180,0.008,11.82,0.000,73.3
1.941,0.3247,-0.0048,0.3247,0.0000,0.0048,0.180,0.008,11.80,0.000,72.2
1.998,0.3324,-0.0049,0.3324,0.0000,0.0049,0.180,0.009,11.82,0.000,73.3
2.044,0.3439,-0.0052,0.3439,0.0000,0.0052,0.180,0.010,11.80,0.000,72.2
2.106,0.3516,-0.0053,0.3516,0.0000,0.0053,0.180,0.009,11.80,0.000,72.2
2.152,0.3593,-0.0055,0.3593,0.0000,0.0055,0.180,0.010,11.82,0.000,73.3
2.195,0.3708,-0.0057,0.3708,0.0000,0.0057,0.180,0.009,11.80,0.000,72.2
2.239,0.3785,-0.0059,0.3785,0.0000,0.0059,0.180,0.009,11.84,0.000,74.4
2.302,0.3863,-0.0060,0.3863,0.0000,0.0060,0.180,0.007,11.82,0.000,73.3
2.343,0.3979,-0.0062,0.3979,0.0000,0.0062,0.180,0.005,11.80,0.000,72.2
2.389,0.4056,-0.0064,0.4056,0.0000,0.0064,0.180,0.002,11.80,0.000,72.2
2.452,0.4134,-0.0065,0.4134,0.0000,0.0065,0.180,0.001,11.84,0.000,74.4
2.498,0.4250,-0.0067,0.4250,0.0000,0.0067,0.180,-0.000,11.80,0.000,72.2
2.542,0.4327,-0.0068,0.4327,0.0000,0.0068,0.180,-0.003,11.82,0.000,73.3
2.602,0.4404,-0.0069,0.4404,0.0000,0.0069,0.180,-0.001,11.82,0.000,73.3
2.645,0.4521,-0.0072,0.4521,0.0000,0.0072,0.180,0.001,11.84,0.000,74.4
2.692,0.4598,-0.0073,0.4598,0.0000,0.0073,0.180,0.001,11.84,0.000,74.4
2.752,0.4676,-0.0074,0.4676,0.0000,0.0074,0.180,0.004,11.85,0.000,75.0
2.799,0.4792,-0.0077,0.4792,0.0000,0.0077,0.180,0.008,11.82,0.000,73.3
2.840,0.4869,-0.0078,0.4869,0.0000,0.0078,0.180,0.008,11.80,0.000,72.2
2.905,0.4946,-0.0080,0.4946,0.0000,0.0080,0.180,0.009,11.84,0.000,74.4
2.949,0.5062,-0.0082,0.5062,0.0000,0.0082,0.180,0.011,11.82,0.000,73.3
2.998,0.5138,-0.0084,0.5138,0.0000,0.0084,0.180,0.011,11.82,0.000,73.3
3.048,0.5217,-0.0086,0.5217,0.0000,0.0086,0.180,0.012,11.82,0.000,73.3
3.111,0.5331,-0.0088,0.5331,0.0000,0.0088,0.180,0.013,11.82,0.000,73.3
3.139,0.5408,-0.0090,0.5408,0.0000,0.0090,0.180,0.013,11.82,0.000,73.3
3.198,0.5484,-0.0091,0.5484,0.0000,0.0091,0.180,0.011,11.80,0.000,72.2
3.244,0.5562,-0.0093,0.5562,0.0000,0.0093,0.180,0.011,11.82,0.000,73.3
3.290,0.5677,-0.0095,0.5677,0.0000,0.0095,0.180,0.010,11.80,0.000,72.2
3.362,0.5754,-0.0097,0.5754,0.0000,0.0097,0.180,0.006,11.80,0.000,72.2
3.414,0.5865,-0.0099,0.5865,0.0000,0.0099,0.180,0.006,11.82,0.000,73.3
3.460,0.5943,-0.0100,0.5943,0.0000,0.0100,0.180,0.002,11.84,0.000,74.4
3.499,0.6019,-0.0102,0.6019,0.0000,0.0102,0.180,0.002,11.80,0.000,72.2
3.544,0.6135,-0.0104,0.6135,0.0000,0.0104,0.180,-0.001,11.84,0.000,74.4
3.617,0.6213,-0.0105,0.6213,0.0000,0.0105,0.180,-0.002,11.82,0.000,73.3
3.646,0.6286,-0.0106,0.6286,0.0000,0.0106,0.180,-0.004,11.82,0.000,73.3
3.691,0.6397,-0.0108,0.6397,0.0000,0.0108,0.180,-0.004,11.84,0.000,74.4
3.749,0.6476,-0.0109,0.6476,0.0000,0.0109,0.180,-0.002,11.84,0.000,74.4
3.797,0.6553,-0.0110,0.6553,0.0000,0.0110,0.180,0.000,11.82,0.000,73.3
3.855,0.6664,-0.0112,0.6664,0.0000,0.0112,0.180,0.000,11.80,0.000,72.2
3.902,0.6743,-0.0114,0.6743,0.0000,0.0114,0.180,0.004,11.84,0.000,74.4
3.943,0.6859,-0.0116,0.6859,0.0000,0.0116,0.180,0.007,11.82,0.000,73.3
3.998,0.6935,-0.0117,0.6935,0.0000,0.0117,0.180,0.008,11.82,0.000,73.3
4.051,0.7013,-0.0119,0.7013,0.0000,0.0119,0.180,0.010,11.84,0.000,74.4
4.094,0.7129,-0.0121,0.7129,0.0000,0.0121,0.180,0.011,11.84,0.000,74.4
4.141,0.7205,-0.0123,0.7205,0.0000,0.0123,0.180,0.012,11.80,0.000,72.2
4.200,0.7282,-0.0125,0.7282,0.0000,0.0125,0.180,0.013,11.82,0.000,73.3
4.242,0.7394,-0.0127,0.7394,0.0000,0.0127,0.180,0.013,11.80,0.000,72.2
4.306,0.7470,-0.0129,0.7470,0.0000,0.0129,0.180,0.013,11.80,0.000,72.2
4.346,0.7542,-0.0130,0.7542,0.0000,0.0130,0.180,0.011,11.84,0.000,74.4
4.389,0.7653,-0.0132,0.7653,0.0000,0.0132,0.180,0.011,11.82,0.000,73.3
4.457,0.7730,-0.0134,0.7730,0.0000,0.0134,0.180,0.010,11.80,0.000,72.2
4.497,0.7842,-0.0136,0.7842,0.0000,0.0136,0.180,0.008,11.84,0.000,74.4
4.552,0.7915,-0.0138,0.7915,0.0000,0.0138,0.180,0.007,11.84,0.000,74.4
4.598,0.7992,-0.0139,0.7992,0.0000,0.0139,0.180,0.002,11.82,0.000,73.3
4.639,0.8107,-0.0141,0.8107,0.0000,0.0141,0.180,0.002,11.82,0.000,73.3
4.702,0.8185,-0.0142,0.8185,0.0000,0.0142,0.180,-0.001,11.84,0.000,74.4
4.749,0.8263,-0.0143,0.8263,0.0000,0.0143,0.180,-0.006,11.82,0.000,73.3
4.793,0.8379,-0.0145,0.8379,0.0000,0.0145,0.180,-0.006,11.80,0.000,72.2
