t,x,y,ref_x,ref_y,err,v,w,voltage,current,percentage
0.014,0.0046,0.0479,0.0000,0.0479,0.0046,0.000,1.000,12.110,0.000,89.440
0.089,0.0046,0.0479,0.0000,0.0479,0.0046,0.000,1.000,12.040,0.000,85.550
0.122,0.0046,0.0477,0.0000,0.0477,0.0046,0.000,1.000,12.040,0.000,85.550
0.161,0.0046,0.0477,0.0000,0.0477,0.0046,0.000,1.000,12.040,0.000,85.550
0.224,0.0046,0.0477,0.0000,0.0477,0.0046,0.000,1.000,12.040,0.000,85.550
0.264,0.0046,0.0478,0.0000,0.0478,0.0046,0.007,1.000,12.040,0.000,85.550
0.312,0.0046,0.0479,0.0000,0.0479,0.0046,0.012,1.000,12.040,0.000,85.550
0.371,0.0046,0.0479,0.0000,0.0479,0.0046,0.016,1.000,12.040,0.000,85.550
0.416,0.0046,0.0477,0.0000,0.0477,0.0046,0.028,1.000,12.040,0.000,85.550
0.478,0.0047,0.0473,0.0000,0.0473,0.0047,0.033,1.000,12.040,0.000,85.550
0.529,0.0049,0.0467,0.0000,0.0467,0.0049,0.040,1.000,12.040,0.000,85.550
0.567,0.0053,0.0456,0.0000,0.0456,0.0053,0.044,1.000,12.020,0.000,84.440
0.614,0.0056,0.0448,0.0000,0.0448,0.0056,0.044,1.000,12.020,0.000,84.440
0.674,0.0062,0.0435,0.0000,0.0435,0.0062,0.049,1.000,12.040,0.000,85.550
0.741,0.0073,0.0414,0.0000,0.0414,0.0073,0.056,1.000,12.060,0.000,86.660
0.778,0.0082,0.0399,0.0000,0.0399,0.0082,0.065,1.000,12.040,0.000,85.550
0.825,0.0094,0.0381,0.0000,0.0381,0.0094,0.065,1.000,12.060,0.000,86.660
0.867,0.0113,0.0354,0.0000,0.0354,0.0113,0.077,1.000,12.060,0.000,86.660
0.911,0.0129,0.0335,0.0000,0.0335,0.0129,0.077,1.000,12.060,0.000,86.660
0.974,0.0147,0.0314,0.0000,0.0314,0.0147,0.082,1.000,12.060,0.000,86.660
1.015,0.0179,0.0281,0.0000,0.0281,0.0179,0.088,1.000,12.080,0.000,87.770
1.076,0.0202,0.0260,0.0000,0.0260,0.0202,0.098,1.000,12.080,0.000,87.770
1.121,0.0228,0.0237,0.0000,0.0237,0.0228,0.098,1.000,12.080,0.000,87.770
1.168,0.0272,0.0204,0.0272,0.0000,0.0204,0.109,1.000,12.080,0.000,87.770
1.210,0.0303,0.0182,0.0303,0.0000,0.0182,0.109,1.000,12.080,0.000,87.770
1.278,0.0337,0.0161,0.0337,0.0000,0.0161,0.120,0.290,12.080,0.000,87.770
1.314,0.0393,0.0129,0.0393,0.0000,0.0129,0.120,1.000,12.090,0.000,88.330
1.381,0.0433,0.0109,0.0433,0.0000,0.0109,0.125,1.000,12.090,0.000,88.330
1.421,0.0496,0.0081,0.0496,0.0000,0.0081,0.131,1.000,12.080,0.000,87.770
1.477,0.0544,0.0062,0.0544,0.0000,0.0062,0.139,0.300,12.080,0.000,87.770
1.530,0.0589,0.0047,0.0589,0.0000,0.0047,0.139,1.000,12.080,0.000,87.770
1.570,0.0665,0.0024,0.0665,0.0000,0.0024,0.145,1.000,12.090,0.000,88.330
1.614,0.0716,0.0011,0.0716,0.0000,0.0011,0.149,1.000,12.090,0.000,88.330
1.689,0.0767,0.0001,0.0767,0.0000,0.0001,0.160,-0.759,12.060,0.000,86.660
1.715,0.0849,-0.0013,0.0849,0.0000,0.0013,0.160,0.828,12.090,0.000,88.330
1.777,0.0910,-0.0021,0.0910,0.0000,0.0021,0.166,-0.290,12.060,0.000,86.660
1.825,0.0970,-0.0027,0.0970,0.0000,0.0027,0.171,-0.694,12.080,0.000,87.770
1.866,0.1069,-0.0033,0.1069,0.0000,0.0033,0.174,-0.333,12.060,0.000,86.660
1.911,0.1138,-0.0036,0.1138,0.0000,0.0036,0.174,0.417,12.040,0.000,85.550
1.975,0.1207,-0.0039,0.1207,0.0000,0.0039,0.176,0.357,12.060,0.000,86.660
2.015,0.1315,-0.0042,0.1315,0.0000,0.0042,0.177,-0.095,12.040,0.000,85.550
2.064,0.1386,-0.0043,0.1386,0.0000,0.0043,0.177,0.303,12.040,0.000,85.550
2.121,0.1460,-0.0042,0.1460,0.0000,0.0042,0.179,0.257,12.060,0.000,86.660
2.166,0.1568,-0.0041,0.1568,0.0000,0.0041,0.178,0.010,12.040,0.000,85.550
2.212,0.1637,-0.0039,0.1637,0.0000,0.0039,0.178,0.170,12.060,0.000,86.660
2.272,0.1708,-0.0038,0.1708,0.0000,0.0038,0.178,0.152,12.040,0.000,85.550
2.311,0.1817,-0.0035,0.1817,0.0000,0.0035,0.177,0.146,12.060,0.000,86.660
2.372,0.1886,-0.0032,0.1886,0.0000,0.0032,0.177,0.128,12.060,0.000,86.660
2.415,0.1957,-0.0030,0.1957,0.0000,0.0030,0.176,0.109,12.060,0.000,86.660
2.464,0.2066,-0.0025,0.2066,0.0000,0.0025,0.176,0.089,12.060,0.000,86.660
2.532,0.2138,-0.0022,0.2138,0.0000,0.0022,0.175,0.078,12.040,0.000,85.550
