t,x,y,ref_x,ref_y,err,v,w,V,I,%
0.002,-0.0000,0.0000,0.0000,0.0000,0.0000,0.153,-0.013,12.02,0.000,84.4
0.054,-0.0000,0.0000,0.0000,0.0000,0.0000,0.180,-0.002,12.02,0.000,84.4
0.096,-0.0000,0.0000,0.0000,0.0000,0.0000,0.180,-0.002,11.67,0.000,65.0
0.143,0.0040,0.0000,0.0040,0.0000,0.0000,0.180,-0.007,11.76,0.000,70.0
0.198,0.0100,0.0001,0.0100,0.0000,0.0001,0.180,-0.013,11.80,0.000,72.2
0.247,0.0208,0.0002,0.0208,0.0000,0.0002,0.180,0.025,11.78,0.000,71.1
0.298,0.0281,0.0002,0.0281,0.0000,0.0002,0.180,0.005,11.78,0.000,71.1
0.344,0.0354,0.0002,0.0354,0.0000,0.0002,0.180,-0.013,11.80,0.000,72.2
0.392,0.0470,0.0003,0.0470,0.0000,0.0003,0.180,-0.011,11.80,0.000,72.2
0.453,0.0546,0.0003,0.0546,0.0000,0.0003,0.180,-0.007,11.80,0.000,72.2
0.493,0.0624,0.0003,0.0624,0.0000,0.0003,0.180,-0.005,11.80,0.000,72.2
0.542,0.0736,0.0003,0.0736,0.0000,0.0003,0.180,-0.007,11.76,0.000,70.0
0.602,0.0810,0.0003,0.0810,0.0000,0.0003,0.180,-0.006,11.80,0.000,72.2
0.648,0.0889,0.0003,0.0889,0.0000,0.0003,0.180,-0.009,11.80,0.000,72.2
0.699,0.1005,0.0004,0.1005,0.0000,0.0004,0.180,0.001,11.82,0.000,73.3
0.753,0.1081,0.0004,0.1081,0.0000,0.0004,0.180,-0.007,11.78,0.000,71.1
0.797,0.1196,0.0004,0.1196,0.0000,0.0004,0.180,-0.016,11.80,0.000,72.2
0.843,0.1275,0.0004,0.1275,0.0000,0.0004,0.180,-0.008,11.82,0.000,73.3
0.903,0.1351,0.0004,0.1351,0.0000,0.0004,0.180,-0.008,11.78,0.000,71.1
0.945,0.1465,0.0004,0.1465,0.0000,0.0004,0.180,-0.010,11.82,0.000,73.3
1.003,0.1539,0.0005,0.1539,0.0000,0.0005,0.180,-0.011,11.82,0.000,73.3
1.052,0.1614,0.0005,0.1614,0.0000,0.0005,0.180,-0.013,11.78,0.000,71.1
1.095,0.1729,0.0005,0.1729,0.0000,0.0005,0.180,-0.014,11.82,0.000,73.3
1.142,0.1807,0.0006,0.1807,0.0000,0.0006,0.180,-0.014,11.80,0.000,72.2
1.203,0.1884,0.0006,0.1884,0.0000,0.0006,0.180,-0.015,11.80,0.000,72.2
1.246,0.2001,0.0006,0.2001,0.0000,0.0006,0.180,-0.006,11.82,0.000,73.3
1.289,0.2080,0.0007,0.2080,0.0000,0.0007,0.180,-0.009,11.82,0.000,73.3
1.353,0.2159,0.0007,0.2159,0.0000,0.0007,0.180,-0.014,11.78,0.000,71.1
1.393,0.2275,0.0007,0.2275,0.0000,0.0007,0.180,-0.011,11.80,0.000,72.2
1.453,0.2349,0.0007,0.2349,0.0000,0.0007,0.180,-0.009,11.80,0.000,72.2
1.495,0.2428,0.0007,0.2428,0.0000,0.0007,0.180,-0.007,11.82,0.000,73.3
1.544,0.2543,0.0007,0.2543,0.0000,0.0007,0.180,-0.005,11.80,0.000,72.2
1.618,0.2619,0.0007,0.2619,0.0000,0.0007,0.180,0.001,11.82,0.000,73.3
1.663,0.2693,0.0006,0.2693,0.0000,0.0006,0.180,-0.002,11.82,0.000,73.3
1.692,0.2808,0.0006,0.2808,0.0000,0.0006,0.180,-0.000,11.80,0.000,72.2
1.756,0.2879,0.0006,0.2879,0.0000,0.0006,0.180,0.001,11.82,0.000,73.3
1.792,0.2991,0.0006,0.2991,0.0000,0.0006,0.180,0.001,11.82,0.000,73.3
1.849,0.3066,0.0005,0.3066,0.0000,0.0005,0.180,0.003,11.78,0.000,71.1
1.898,0.3141,0.0005,0.3141,0.0000,0.0005,0.180,0.004,11.80,0.000,72.2
1.945,0.3257,0.0005,0.3257,0.0000,0.0005,0.180,0.002,11.82,0.000,73.3
1.996,0.3335,0.0005,0.3335,0.0000,0.0005,0.180,0.004,11.80,0.000,72.2
2.053,0.3410,0.0004,0.3410,0.0000,0.0004,0.180,0.004,11.78,0.000,71.1
2.093,0.3524,0.0004,0.3524,0.0000,0.0004,0.180,0.003,11.82,0.000,73.3
2.149,0.3602,0.0004,0.3602,0.0000,0.0004,0.180,-0.005,11.80,0.000,72.2
2.195,0.3677,0.0004,0.3677,0.0000,0.0004,0.180,0.002,11.76,0.000,70.0
2.244,0.3793,0.0003,0.3793,0.0000,0.0003,0.180,0.001,11.82,0.000,73.3
2.303,0.3867,0.0003,0.3867,0.0000,0.0003,0.180,0.000,11.82,0.000,73.3
2.351,0.3979,0.0003,0.3979,0.0000,0.0003,0.180,-0.002,11.78,0.000,71.1
2.392,0.4056,0.0003,0.4056,0.0000,0.0003,0.180,-0.004,11.82,0.000,73.3
2.454,0.4135,0.0003,0.4135,0.0000,0.0003,0.180,-0.004,11.82,0.000,73.3
2.493,0.4254,0.0003,0.4254,0.0000,0.0003,0.180,-0.003,11.78,0.000,71.1
2.557,0.4331,0.0003,0.4331,0.0000,0.0003,0.180,0.013,11.80,0.000,72.2
2.602,0.4409,0.0003,0.4409,0.0000,0.0003,0.180,0.000,11.82,0.000,73.3
2.649,0.4525,0.0003,0.4525,0.0000,0.0003,0.180,0.010,11.80,0.000,72.2
2.692,0.4601,0.0002,0.4601,0.0000,0.0002,0.180,0.003,11.82,0.000,73.3
2.749,0.4678,0.0002,0.4678,0.0000,0.0002,0.180,0.009,11.82,0.000,73.3
2.795,0.4757,0.0002,0.4757,0.0000,0.0002,0.180,0.005,11.80,0.000,72.2
2.855,0.4872,0.0002,0.4872,0.0000,0.0002,0.180,0.007,11.78,0.000,71.1
2.923,0.4943,0.0001,0.4943,0.0000,0.0001,0.180,0.008,11.80,0.000,72.2
2.944,0.5059,0.0001,0.5059,0.0000,0.0001,0.180,0.005,11.82,0.000,73.3
2.995,0.5138,0.0001,0.5138,0.0000,0.0001,0.180,0.006,11.76,0.000,70.0
3.049,0.5209,0.0000,0.5209,0.0000,0.0000,0.180,0.005,11.78,0.000,71.1
3.089,0.5325,0.0000,0.5325,0.0000,0.0000,0.180,0.011,11.82,0.000,73.3
3.153,0.5403,-0.0000,0.5403,0.0000,0.0000,0.180,0.007,11.76,0.000,70.0
3.203,0.5478,-0.0000,0.5478,0.0000,0.0000,0.180,0.007,11.78,0.000,71.1
3.243,0.5593,-0.0001,0.5593,0.0000,0.0001,0.180,0.005,11.82,0.000,73.3
3.298,0.5670,-0.0001,0.5670,0.0000,0.0001,0.180,-0.001,11.82,0.000,73.3
3.346,0.5741,-0.0001,0.5741,0.0000,0.0001,0.180,-0.007,11.78,0.000,71.1
3.393,0.5857,-0.0001,0.5857,0.0000,0.0001,0.180,0.002,11.82,0.000,73.3
3.453,0.5936,-0.0001,0.5936,0.0000,0.0001,0.180,0.002,11.84,0.000,74.4
3.495,0.6012,-0.0001,0.6012,0.0000,0.0001,0.180,-0.002,11.80,0.000,72.2
3.543,0.6128,-0.0001,0.6128,0.0000,0.0001,0.180,-0.002,11.84,0.000,74.4
3.598,0.6207,-0.0001,0.6207,0.0000,0.0001,0.180,0.001,11.82,0.000,73.3
3.702,0.6285,-0.0001,0.6285,0.0000,0.0001,0.180,-0.002,11.80,0.000,72.2
3.707,0.6402,-0.0001,0.6402,0.0000,0.0001,0.180,0.026,11.80,0.000,72.2
3.752,0.6480,-0.0001,0.6480,0.0000,0.0001,0.180,0.002,11.84,0.000,74.4
3.793,0.6593,-0.0001,0.6593,0.0000,0.0001,0.180,0.004,11.78,0.000,71.1
3.853,0.6669,-0.0001,0.6669,0.0000,0.0001,0.180,0.006,11.78,0.000,71.1
3.902,0.6742,-0.0002,0.6742,0.0000,0.0002,0.180,0.007,11.82,0.000,73.3
3.955,0.6857,-0.0002,0.6857,0.0000,0.0002,0.180,0.006,11.78,0.000,71.1
3.994,0.6930,-0.0002,0.6930,0.0000,0.0002,0.180,0.009,11.78,0.000,71.1
4.047,0.7007,-0.0002,0.7007,0.0000,0.0002,0.180,0.001,11.82,0.000,73.3
4.193,0.7123,-0.0003,0.7123,0.0000,0.0003,0.180,0.007,11.80,0.000,72.2
4.197,0.7200,-0.0003,0.7200,0.0000,0.0003,0.180,0.011,11.80,0.000,72.2
4.201,0.7276,-0.0003,0.7276,0.0000,0.0003,0.180,0.011,11.80,0.000,72.2
