t,x,y,ref_x,ref_y,err,v,w,V,I,%
0.001,-0.0000,0.0000,0.0000,0.0000,0.0000,0.144,-0.001,11.98,0.000,82.2
0.023,-0.0000,0.0000,0.0000,0.0000,0.0000,0.144,-0.001,11.98,0.000,82.2
0.071,-0.0000,0.0000,0.0000,0.0000,0.0000,0.173,-0.002,11.76,0.000,70.0
0.126,-0.0000,0.0000,0.0000,0.0000,0.0000,0.173,-0.002,11.60,0.000,61.1
0.173,0.0047,0.0000,0.0047,0.0000,0.0000,0.179,-0.004,11.69,0.000,66.1
0.243,0.0109,0.0001,0.0109,0.0000,0.0001,0.180,-0.007,11.76,0.000,70.0
0.278,0.0181,0.0001,0.0181,0.0000,0.0001,0.180,-0.009,11.74,0.000,68.9
0.320,0.0288,0.0001,0.0288,0.0000,0.0001,0.180,-0.009,11.76,0.000,70.0
0.380,0.0361,0.0002,0.0361,0.0000,0.0002,0.180,-0.010,11.76,0.000,70.0
0.425,0.0433,0.0002,0.0433,0.0000,0.0002,0.180,-0.010,11.76,0.000,70.0
0.491,0.0540,0.0003,0.0540,0.0000,0.0003,0.180,-0.012,11.76,0.000,70.0
0.519,0.0611,0.0003,0.0611,0.0000,0.0003,0.180,-0.012,11.74,0.000,68.9
0.576,0.0683,0.0004,0.0683,0.0000,0.0004,0.180,-0.012,11.74,0.000,68.9
0.620,0.0790,0.0005,0.0790,0.0000,0.0005,0.180,-0.012,11.76,0.000,70.0
0.679,0.0863,0.0005,0.0863,0.0000,0.0005,0.180,-0.013,11.74,0.000,68.9
0.733,0.0934,0.0005,0.0934,0.0000,0.0005,0.180,-0.012,11.76,0.000,70.0
0.772,0.1044,0.0006,0.1044,0.0000,0.0006,0.180,-0.012,11.76,0.000,70.0
0.817,0.1114,0.0006,0.1114,0.0000,0.0006,0.180,-0.012,11.74,0.000,68.9
0.876,0.1187,0.0007,0.1187,0.0000,0.0007,0.180,-0.011,11.78,0.000,71.1
0.917,0.1298,0.0007,0.1298,0.0000,0.0007,0.180,-0.011,11.78,0.000,71.1
1.005,0.1372,0.0008,0.1372,0.0000,0.0008,0.180,-0.011,11.74,0.000,68.9
1.022,0.1445,0.0008,0.1445,0.0000,0.0008,0.180,-0.011,11.76,0.000,70.0
1.084,0.1555,0.0008,0.1555,0.0000,0.0008,0.180,-0.011,11.78,0.000,71.1
1.129,0.1628,0.0009,0.1628,0.0000,0.0009,0.180,-0.009,11.74,0.000,68.9
1.172,0.1736,0.0009,0.1736,0.0000,0.0009,0.180,-0.009,11.76,0.000,70.0
1.225,0.1808,0.0009,0.1808,0.0000,0.0009,0.180,-0.008,11.76,0.000,70.0
1.293,0.1881,0.0009,0.1881,0.0000,0.0009,0.180,-0.006,11.73,0.000,68.3
1.319,0.1988,0.0009,0.1988,0.0000,0.0009,0.180,-0.006,11.78,0.000,71.1
1.381,0.2058,0.0009,0.2058,0.0000,0.0009,0.180,-0.005,11.76,0.000,70.0
1.433,0.2129,0.0009,0.2129,0.0000,0.0009,0.180,-0.004,11.74,0.000,68.9
1.502,0.2237,0.0009,0.2237,0.0000,0.0009,0.180,-0.004,11.78,0.000,71.1
1.520,0.2312,0.0009,0.2312,0.0000,0.0009,0.180,-0.004,11.78,0.000,71.1
1.577,0.2381,0.0009,0.2381,0.0000,0.0009,0.180,-0.004,11.74,0.000,68.9
1.620,0.2489,0.0009,0.2489,0.0000,0.0009,0.180,-0.004,11.78,0.000,71.1
1.677,0.2564,0.0009,0.2564,0.0000,0.0009,0.180,-0.004,11.76,0.000,70.0
1.726,0.2633,0.0009,0.2633,0.0000,0.0009,0.180,-0.004,11.74,0.000,68.9
1.782,0.2740,0.0009,0.2740,0.0000,0.0009,0.180,-0.005,11.76,0.000,70.0
1.819,0.2813,0.0009,0.2813,0.0000,0.0009,0.180,-0.006,11.74,0.000,68.9
1.874,0.2883,0.0009,0.2883,0.0000,0.0009,0.180,-0.006,11.74,0.000,68.9
1.924,0.2991,0.0009,0.2991,0.0000,0.0009,0.180,-0.006,11.78,0.000,71.1
2.003,0.3065,0.0009,0.3065,0.0000,0.0009,0.180,-0.006,11.74,0.000,68.9
2.022,0.3137,0.0010,0.3137,0.0000,0.0010,0.180,-0.006,11.74,0.000,68.9
2.081,0.3247,0.0010,0.3247,0.0000,0.0010,0.180,-0.006,11.80,0.000,72.2
2.132,0.3321,0.0010,0.3321,0.0000,0.0010,0.180,-0.006,11.74,0.000,68.9
2.173,0.3431,0.0010,0.3431,0.0000,0.0010,0.180,-0.006,11.78,0.000,71.1
2.219,0.3504,0.0010,0.3504,0.0000,0.0010,0.180,-0.006,11.80,0.000,72.2
2.283,0.3579,0.0010,0.3579,0.0000,0.0010,0.180,-0.007,11.74,0.000,68.9
2.324,0.3686,0.0010,0.3686,0.0000,0.0010,0.180,-0.006,11.78,0.000,71.1
2.370,0.3759,0.0010,0.3759,0.0000,0.0010,0.180,-0.006,11.80,0.000,72.2
2.430,0.3832,0.0010,0.3832,0.0000,0.0010,0.180,-0.005,11.76,0.000,70.0
2.504,0.3938,0.0010,0.3938,0.0000,0.0010,0.180,-0.004,11.78,0.000,71.1
2.515,0.4010,0.0010,0.4010,0.0000,0.0010,0.180,-0.004,11.80,0.000,72.2
2.579,0.4083,0.0010,0.4083,0.0000,0.0010,0.180,-0.003,11.74,0.000,68.9
2.623,0.4191,0.0010,0.4191,0.0000,0.0010,0.180,-0.002,11.80,0.000,72.2
2.692,0.4265,0.0009,0.4265,0.0000,0.0009,0.180,-0.001,11.78,0.000,71.1
2.725,0.4336,0.0009,0.4336,0.0000,0.0009,0.180,-0.001,11.74,0.000,68.9
2.798,0.4443,0.0009,0.4443,0.0000,0.0009,0.180,-0.002,11.78,0.000,71.1
2.832,0.4516,0.0009,0.4516,0.0000,0.0009,0.180,-0.002,11.78,0.000,71.1
2.876,0.4587,0.0009,0.4587,0.0000,0.0009,0.180,-0.002,11.74,0.000,68.9
2.924,0.4695,0.0009,0.4695,0.0000,0.0009,0.180,-0.002,11.78,0.000,71.1
3.004,0.4767,0.0009,0.4767,0.0000,0.0009,0.180,-0.003,11.76,0.000,70.0
3.023,0.4834,0.0009,0.4834,0.0000,0.0009,0.180,-0.003,11.76,0.000,70.0
3.072,0.4941,0.0009,0.4941,0.0000,0.0009,0.180,-0.004,11.76,0.000,70.0
3.129,0.5014,0.0009,0.5014,0.0000,0.0009,0.180,-0.004,11.74,0.000,68.9
3.182,0.5122,0.0009,0.5122,0.0000,0.0009,0.180,-0.004,11.78,0.000,71.1
3.222,0.5195,0.0009,0.5195,0.0000,0.0009,0.180,-0.004,11.78,0.000,71.1
3.281,0.5269,0.0009,0.5269,0.0000,0.0009,0.180,-0.004,11.74,0.000,68.9
3.323,0.5379,0.0009,0.5379,0.0000,0.0009,0.180,-0.004,11.76,0.000,70.0
3.370,0.5452,0.0009,0.5452,0.0000,0.0009,0.180,-0.004,11.78,0.000,71.1
3.428,0.5526,0.0009,0.5526,0.0000,0.0009,0.180,-0.004,11.74,0.000,68.9
3.493,0.5635,0.0009,0.5635,0.0000,0.0009,0.180,-0.004,11.78,0.000,71.1
3.526,0.5708,0.0009,0.5708,0.0000,0.0009,0.180,-0.004,11.78,0.000,71.1
3.578,0.5781,0.0009,0.5781,0.0000,0.0009,0.180,-0.003,11.73,0.000,68.3
3.620,0.5889,0.0009,0.5889,0.0000,0.0009,0.180,-0.003,11.78,0.000,71.1
3.711,0.5961,0.0008,0.5961,0.0000,0.0008,0.180,-0.000,11.73,0.000,68.3
3.726,0.6033,0.0008,0.6033,0.0000,0.0008,0.180,-0.000,11.73,0.000,68.3
3.773,0.6140,0.0008,0.6140,0.0000,0.0008,0.180,-0.000,11.76,0.000,70.0
3.828,0.6213,0.0008,0.6213,0.0000,0.0008,0.180,0.000,11.78,0.000,71.1
3.883,0.6285,0.0008,0.6285,0.0000,0.0008,0.180,0.001,11.73,0.000,68.3
3.918,0.6393,0.0007,0.6393,0.0000,0.0007,0.180,0.001,11.78,0.000,71.1
3.993,0.6467,0.0007,0.6467,0.0000,0.0007,0.180,0.001,11.78,0.000,71.1
4.027,0.6538,0.0007,0.6538,0.0000,0.0007,0.180,0.001,11.73,0.000,68.3
4.074,0.6645,0.0007,0.6645,0.0000,0.0007,0.180,0.000,11.76,0.000,70.0
4.120,0.6718,0.0006,0.6718,0.0000,0.0006,0.180,0.000,11.76,0.000,70.0
4.176,0.6788,0.0006,0.6788,0.0000,0.0006,0.180,0.001,11.74,0.000,68.9
4.234,0.6896,0.0006,0.6896,0.0000,0.0006,0.180,0.000,11.76,0.000,70.0
4.277,0.6969,0.0006,0.6969,0.0000,0.0006,0.180,0.000,11.74,0.000,68.9
4.324,0.7039,0.0006,0.7039,0.0000,0.0006,0.180,0.000,11.73,0.000,68.3
4.372,0.7146,0.0006,0.7146,0.0000,0.0006,0.180,0.000,11.78,0.000,71.1
4.443,0.7220,0.0006,0.7220,0.0000,0.0006,0.180,-0.000,11.76,0.000,70.0
4.495,0.7329,0.0005,0.7329,0.0000,0.0005,0.180,-0.001,11.76,0.000,70.0
4.520,0.7402,0.0005,0.7402,0.0000,0.0005,0.180,-0.001,11.76,0.000,70.0
4.583,0.7476,0.0005,0.7476,0.0000,0.0005,0.180,-0.000,11.74,0.000,68.9
4.622,0.7587,0.0005,0.7587,0.0000,0.0005,0.180,-0.001,11.76,0.000,70.0
4.670,0.7659,0.0005,0.7659,0.0000,0.0005,0.180,-0.001,11.76,0.000,70.0
4.729,0.7733,0.0005,0.7733,0.0000,0.0005,0.180,-0.001,11.74,0.000,68.9
4.773,0.7841,0.0005,0.7841,0.0000,0.0005,0.180,-0.001,11.76,0.000,70.0
4.819,0.7913,0.0005,0.7913,0.0000,0.0005,0.180,-0.001,11.76,0.000,70.0
4.882,0.7987,0.0005,0.7987,0.0000,0.0005,0.180,-0.000,11.73,0.000,68.3
4.933,0.8093,0.0005,0.8093,0.0000,0.0005,0.180,0.000,11.76,0.000,70.0
5.001,0.8165,0.0004,0.8165,0.0000,0.0004,0.180,0.001,11.78,0.000,71.1
5.023,0.8238,0.0004,0.8238,0.0000,0.0004,0.180,0.001,11.71,0.000,67.2
5.072,0.8345,0.0004,0.8345,0.0000,0.0004,0.180,0.002,11.76,0.000,70.0
5.119,0.8418,0.0004,0.8418,0.0000,0.0004,0.180,0.002,11.78,0.000,71.1
5.177,0.8491,0.0004,0.8491,0.0000,0.0004,0.180,0.002,11.71,0.000,67.2
5.217,0.8598,0.0003,0.8598,0.0000,0.0003,0.180,0.002,11.76,0.000,70.0
5.284,0.8671,0.0003,0.8671,0.0000,0.0003,0.180,0.001,11.74,0.000,68.9
5.321,0.8742,0.0003,0.8742,0.0000,0.0003,0.180,0.001,11.69,0.000,66.1
5.384,0.8845,0.0003,0.8845,0.0000,0.0003,0.180,0.000,11.74,0.000,68.9
5.432,0.8917,0.0003,0.8917,0.0000,0.0003,0.180,0.000,11.74,0.000,68.9
5.503,0.9026,0.0003,0.9026,0.0000,0.0003,0.180,-0.000,11.73,0.000,68.3
5.520,0.9092,0.0003,0.9092,0.0000,0.0003,0.180,-0.000,11.74,0.000,68.9
5.579,0.9165,0.0003,0.9165,0.0000,0.0003,0.180,-0.001,11.73,0.000,68.3
5.632,0.9269,0.0003,0.9269,0.0000,0.0003,0.180,-0.001,11.73,0.000,68.3
5.676,0.9342,0.0003,0.9342,0.0000,0.0003,0.180,-0.000,11.74,0.000,68.9
5.724,0.9415,0.0003,0.9415,0.0000,0.0003,0.180,-0.000,11.71,0.000,67.2
5.772,0.9524,0.0003,0.9524,0.0000,0.0003,0.180,0.000,11.71,0.000,67.2
5.843,0.9599,0.0002,0.9599,0.0000,0.0002,0.180,0.001,11.76,0.000,70.0
5.873,0.9710,0.0002,0.9710,0.0000,0.0002,0.180,0.001,11.71,0.000,67.2
5.932,0.9782,0.0002,0.9782,0.0000,0.0002,0.180,0.002,11.71,0.000,67.2
6.004,0.9855,0.0002,0.9855,0.0000,0.0002,0.180,0.002,11.76,0.000,70.0
6.022,0.9963,0.0002,0.9963,0.0000,0.0002,0.180,0.002,11.69,0.000,66.1
6.070,1.0034,0.0001,1.0034,0.0000,0.0001,0.180,0.005,11.71,0.000,67.2
6.130,1.0108,0.0001,1.0108,0.0000,0.0001,0.180,0.006,11.76,0.000,70.0
6.172,1.0216,0.0000,1.0216,0.0000,0.0000,0.180,0.009,11.71,0.000,67.2
6.221,1.0287,-0.0000,1.0287,0.0000,0.0000,0.180,0.009,11.73,0.000,68.3
6.281,1.0360,-0.0001,1.0360,0.0000,0.0001,0.180,0.009,11.78,0.000,71.1
6.333,1.0469,-0.0001,1.0469,0.0000,0.0001,0.180,0.010,11.71,0.000,67.2
6.379,1.0536,-0.0002,1.0536,0.0000,0.0002,0.180,0.011,11.74,0.000,68.9
6.425,1.0611,-0.0002,1.0611,0.0000,0.0002,0.180,0.011,11.74,0.000,68.9
6.513,1.0718,-0.0003,1.0718,0.0000,0.0003,0.180,0.010,11.71,0.000,67.2
6.520,1.0788,-0.0003,1.0788,0.0000,0.0003,0.180,0.010,11.74,0.000,68.9
6.574,1.0863,-0.0004,1.0863,0.0000,0.0004,0.180,0.009,11.74,0.000,68.9
6.638,1.0969,-0.0004,1.0969,0.0000,0.0004,0.180,0.009,11.73,0.000,68.3
6.682,1.1040,-0.0004,1.1040,0.0000,0.0004,0.180,0.009,11.74,0.000,68.9
6.720,1.1113,-0.0005,1.1113,0.0000,0.0005,0.180,0.008,11.74,0.000,68.9
6.769,1.1220,-0.0005,1.1220,0.0000,0.0005,0.180,0.008,11.73,0.000,68.3
6.833,1.1291,-0.0005,1.1291,0.0000,0.0005,0.180,0.008,11.76,0.000,70.0
6.874,1.1401,-0.0006,1.1401,0.0000,0.0006,0.180,0.009,11.74,0.000,68.9
6.918,1.1474,-0.0006,1.1474,0.0000,0.0006,0.180,0.009,11.74,0.000,68.9
6.993,1.1547,-0.0006,1.1547,0.0000,0.0006,0.180,0.009,11.76,0.000,70.0
7.026,1.1658,-0.0007,1.1658,0.0000,0.0007,0.180,0.009,11.73,0.000,68.3
