t,x,y,ref_x,ref_y,err,v,w,V,I,%
0.002,-0.0000,0.0000,0.0000,0.0000,0.0000,0.153,-0.018,11.97,0.000,81.7
0.006,-0.0000,0.0000,0.0000,0.0000,0.0000,0.176,-0.008,11.97,0.000,81.7
0.072,-0.0000,0.0000,0.0000,0.0000,0.0000,0.180,-0.003,11.63,0.000,62.8
0.123,0.0000,0.0000,0.0000,0.0000,0.0000,0.180,-0.003,11.58,0.000,60.0
0.163,0.0065,0.0000,0.0065,0.0000,0.0000,0.180,-0.010,11.65,0.000,63.9
0.203,0.0133,0.0001,0.0133,0.0000,0.0001,0.180,-0.026,11.69,0.000,66.1
0.266,0.0208,0.0002,0.0208,0.0000,0.0002,0.180,0.007,11.69,0.000,66.1
0.308,0.0317,0.0003,0.0317,0.0000,0.0003,0.180,-0.004,11.69,0.000,66.1
0.357,0.0394,0.0003,0.0394,0.0000,0.0003,0.180,-0.003,11.73,0.000,68.3
0.415,0.0472,0.0003,0.0472,0.0000,0.0003,0.180,-0.004,11.71,0.000,67.2
0.495,0.0588,0.0004,0.0588,0.0000,0.0004,0.180,-0.014,11.71,0.000,67.2
0.518,0.0661,0.0004,0.0661,0.0000,0.0004,0.180,-0.016,11.71,0.000,67.2
0.566,0.0738,0.0004,0.0738,0.0000,0.0004,0.180,0.002,11.73,0.000,68.3
0.604,0.0853,0.0005,0.0853,0.0000,0.0005,0.180,-0.011,11.73,0.000,68.3
0.663,0.0925,0.0005,0.0925,0.0000,0.0005,0.180,-0.011,11.74,0.000,68.9
0.711,0.1003,0.0005,0.1003,0.0000,0.0005,0.180,-0.011,11.73,0.000,68.3
0.757,0.1117,0.0005,0.1117,0.0000,0.0005,0.180,-0.008,11.73,0.000,68.3
0.817,0.1195,0.0005,0.1195,0.0000,0.0005,0.180,-0.017,11.73,0.000,68.3
0.862,0.1307,0.0006,0.1307,0.0000,0.0006,0.180,-0.010,11.71,0.000,67.2
0.904,0.1384,0.0006,0.1384,0.0000,0.0006,0.180,-0.011,11.73,0.000,68.3
1.003,0.1461,0.0006,0.1461,0.0000,0.0006,0.180,-0.012,11.74,0.000,68.9
1.005,0.1578,0.0006,0.1578,0.0000,0.0006,0.180,-0.012,11.74,0.000,68.9
1.057,0.1656,0.0007,0.1656,0.0000,0.0007,0.180,-0.019,11.71,0.000,67.2
1.115,0.1732,0.0007,0.1732,0.0000,0.0007,0.180,-0.003,11.73,0.000,68.3
1.162,0.1848,0.0007,0.1848,0.0000,0.0007,0.180,-0.015,11.71,0.000,67.2
1.203,0.1925,0.0007,0.1925,0.0000,0.0007,0.180,-0.012,11.71,0.000,67.2
1.264,0.2003,0.0008,0.2003,0.0000,0.0008,0.180,-0.010,11.71,0.000,67.2
1.311,0.2115,0.0008,0.2115,0.0000,0.0008,0.180,-0.007,11.71,0.000,67.2
1.368,0.2192,0.0007,0.2192,0.0000,0.0007,0.180,0.008,11.71,0.000,67.2
1.418,0.2269,0.0007,0.2269,0.0000,0.0007,0.180,0.011,11.71,0.000,67.2
1.457,0.2385,0.0007,0.2385,0.0000,0.0007,0.180,0.005,11.73,0.000,68.3
1.504,0.2464,0.0007,0.2464,0.0000,0.0007,0.180,0.004,11.73,0.000,68.3
1.582,0.2541,0.0007,0.2541,0.0000,0.0007,0.180,0.001,11.71,0.000,67.2
1.605,0.2651,0.0006,0.2651,0.0000,0.0006,0.180,0.003,11.74,0.000,68.9
1.665,0.2729,0.0006,0.2729,0.0000,0.0006,0.180,0.013,11.74,0.000,68.9
1.713,0.2805,0.0006,0.2805,0.0000,0.0006,0.180,0.004,11.71,0.000,67.2
1.773,0.2921,0.0005,0.2921,0.0000,0.0005,0.180,0.006,11.73,0.000,68.3
1.814,0.2994,0.0005,0.2994,0.0000,0.0005,0.180,0.006,11.73,0.000,68.3
1.863,0.3070,0.0004,0.3070,0.0000,0.0004,0.180,0.007,11.69,0.000,66.1
1.904,0.3185,0.0004,0.3185,0.0000,0.0004,0.180,0.008,11.69,0.000,66.1
1.996,0.3262,0.0003,0.3262,0.0000,0.0003,0.180,0.009,11.69,0.000,66.1
2.009,0.3340,0.0003,0.3340,0.0000,0.0003,0.180,0.007,11.69,0.000,66.1
2.055,0.3455,0.0003,0.3455,0.0000,0.0003,0.180,-0.006,11.69,0.000,66.1
2.117,0.3533,0.0003,0.3533,0.0000,0.0003,0.180,-0.015,11.73,0.000,68.3
2.172,0.3650,0.0002,0.3650,0.0000,0.0002,0.180,0.001,11.73,0.000,68.3
2.202,0.3727,0.0002,0.3727,0.0000,0.0002,0.180,-0.001,11.73,0.000,68.3
2.267,0.3804,0.0002,0.3804,0.0000,0.0002,0.180,-0.011,11.73,0.000,68.3
2.312,0.3882,0.0002,0.3882,0.0000,0.0002,0.180,-0.003,11.73,0.000,68.3
2.356,0.3997,0.0002,0.3997,0.0000,0.0002,0.180,0.003,11.73,0.000,68.3
2.402,0.4075,0.0002,0.4075,0.0000,0.0002,0.180,-0.002,11.73,0.000,68.3
2.496,0.4152,0.0002,0.4152,0.0000,0.0002,0.180,-0.001,11.73,0.000,68.3
2.515,0.4267,0.0002,0.4267,0.0000,0.0002,0.180,0.019,11.73,0.000,68.3
2.572,0.4344,0.0002,0.4344,0.0000,0.0002,0.180,0.004,11.71,0.000,67.2
2.615,0.4460,0.0001,0.4460,0.0000,0.0001,0.180,0.014,11.73,0.000,68.3
2.656,0.4538,0.0001,0.4538,0.0000,0.0001,0.180,0.014,11.73,0.000,68.3
2.712,0.4615,0.0001,0.4615,0.0000,0.0001,0.180,0.009,11.71,0.000,67.2
2.773,0.4726,0.0000,0.4726,0.0000,0.0000,0.180,0.010,11.73,0.000,68.3
2.803,0.4805,-0.0000,0.4805,0.0000,0.0000,0.180,0.010,11.73,0.000,68.3
2.882,0.4881,-0.0001,0.4881,0.0000,0.0001,0.180,0.010,11.71,0.000,67.2
2.909,0.4992,-0.0001,0.4992,0.0000,0.0001,0.180,0.011,11.73,0.000,68.3
2.997,0.5065,-0.0001,0.5065,0.0000,0.0001,0.180,0.011,11.73,0.000,68.3
3.014,0.5142,-0.0002,0.5142,0.0000,0.0002,0.180,0.010,11.71,0.000,67.2
3.057,0.5257,-0.0002,0.5257,0.0000,0.0002,0.180,0.005,11.71,0.000,67.2
3.104,0.5334,-0.0002,0.5334,0.0000,0.0002,0.180,0.009,11.74,0.000,68.9
3.165,0.5411,-0.0003,0.5411,0.0000,0.0003,0.180,-0.000,11.71,0.000,67.2
3.209,0.5527,-0.0003,0.5527,0.0000,0.0003,0.180,-0.005,11.71,0.000,67.2
3.266,0.5605,-0.0003,0.5605,0.0000,0.0003,0.180,-0.010,11.71,0.000,67.2
3.311,0.5682,-0.0003,0.5682,0.0000,0.0003,0.180,0.003,11.73,0.000,68.3
3.368,0.5794,-0.0003,0.5794,0.0000,0.0003,0.180,-0.006,11.73,0.000,68.3
3.415,0.5872,-0.0003,0.5872,0.0000,0.0003,0.180,-0.007,11.73,0.000,68.3
3.497,0.5984,-0.0003,0.5984,0.0000,0.0003,0.180,-0.001,11.73,0.000,68.3
3.505,0.6061,-0.0003,0.6061,0.0000,0.0003,0.180,0.002,11.71,0.000,67.2
3.568,0.6139,-0.0003,0.6139,0.0000,0.0003,0.180,0.015,11.73,0.000,68.3
3.612,0.6254,-0.0003,0.6254,0.0000,0.0003,0.180,0.002,11.73,0.000,68.3
3.654,0.6331,-0.0003,0.6331,0.0000,0.0003,0.180,0.004,11.73,0.000,68.3
3.716,0.6410,-0.0003,0.6410,0.0000,0.0003,0.180,0.025,11.71,0.000,67.2
3.764,0.6526,-0.0003,0.6526,0.0000,0.0003,0.180,0.009,11.73,0.000,68.3
3.805,0.6604,-0.0003,0.6604,0.0000,0.0003,0.180,0.014,11.74,0.000,68.9
3.867,0.6681,-0.0004,0.6681,0.0000,0.0004,0.180,0.018,11.71,0.000,67.2
3.911,0.6797,-0.0004,0.6797,0.0000,0.0004,0.180,0.011,11.73,0.000,68.3
3.955,0.6875,-0.0004,0.6875,0.0000,0.0004,0.180,0.011,11.73,0.000,68.3
4.016,0.6952,-0.0005,0.6952,0.0000,0.0005,0.180,0.010,11.73,0.000,68.3
4.075,0.7066,-0.0005,0.7066,0.0000,0.0005,0.180,0.004,11.71,0.000,67.2
4.103,0.7142,-0.0005,0.7142,0.0000,0.0005,0.180,0.010,11.73,0.000,68.3
4.165,0.7220,-0.0005,0.7220,0.0000,0.0005,0.180,0.009,11.73,0.000,68.3
4.213,0.7334,-0.0005,0.7334,0.0000,0.0005,0.180,0.009,11.73,0.000,68.3
4.268,0.7411,-0.0005,0.7411,0.0000,0.0005,0.180,0.007,11.73,0.000,68.3
4.342,0.7489,-0.0006,0.7489,0.0000,0.0006,0.180,0.007,11.73,0.000,68.3
4.378,0.7606,-0.0006,0.7606,0.0000,0.0006,0.180,-0.004,11.74,0.000,68.9
4.404,0.7683,-0.0006,0.7683,0.0000,0.0006,0.180,0.005,11.73,0.000,68.3
4.489,0.7761,-0.0005,0.7761,0.0000,0.0005,0.180,0.002,11.71,0.000,67.2
4.514,0.7877,-0.0005,0.7877,0.0000,0.0005,0.180,-0.005,11.74,0.000,68.9
4.567,0.7955,-0.0005,0.7955,0.0000,0.0005,0.180,-0.010,11.71,0.000,67.2
4.615,0.8028,-0.0005,0.8028,0.0000,0.0005,0.180,-0.002,11.73,0.000,68.3
4.665,0.8143,-0.0005,0.8143,0.0000,0.0005,0.180,-0.002,11.73,0.000,68.3
4.705,0.8220,-0.0004,0.8220,0.0000,0.0004,0.180,-0.003,11.73,0.000,68.3
4.767,0.8297,-0.0004,0.8297,0.0000,0.0004,0.180,0.013,11.73,0.000,68.3
4.809,0.8413,-0.0004,0.8413,0.0000,0.0004,0.180,-0.000,11.73,0.000,68.3
4.865,0.8491,-0.0004,0.8491,0.0000,0.0004,0.180,0.014,11.73,0.000,68.3
4.915,0.8565,-0.0004,0.8565,0.0000,0.0004,0.180,0.012,11.74,0.000,68.9
4.998,0.8681,-0.0004,0.8681,0.0000,0.0004,0.180,0.005,11.73,0.000,68.3
