t,x,y,ref_x,ref_y,err,v,w,V,I,%
0.001,0.0000,0.0000,0.0000,0.0000,0.0000,0.144,-0.001,12.02,0.000,84.4
0.037,0.0000,-0.0000,0.0000,0.0000,0.0000,0.144,-0.001,12.02,0.000,84.4
0.086,0.0000,-0.0000,0.0000,0.0000,0.0000,0.173,-0.002,11.71,0.000,67.2
0.146,0.0006,0.0000,0.0006,0.0000,0.0000,0.179,-0.000,11.71,0.000,67.2
0.189,0.0074,-0.0000,0.0074,0.0000,0.0000,0.179,-0.000,11.78,0.000,71.1
0.244,0.0139,-0.0000,0.0139,0.0000,0.0000,0.180,0.000,11.80,0.000,72.2
0.293,0.0211,-0.0000,0.0211,0.0000,0.0000,0.180,0.002,11.80,0.000,72.2
0.340,0.0319,-0.0000,0.0319,0.0000,0.0000,0.180,0.002,11.78,0.000,71.1
0.387,0.0390,-0.0000,0.0390,0.0000,0.0000,0.180,0.002,11.80,0.000,72.2
0.453,0.0465,-0.0000,0.0465,0.0000,0.0000,0.180,0.002,11.80,0.000,72.2
0.489,0.0572,-0.0000,0.0572,0.0000,0.0000,0.180,0.001,11.78,0.000,71.1
0.546,0.0642,-0.0000,0.0642,0.0000,0.0000,0.180,0.001,11.80,0.000,72.2
0.594,0.0716,-0.0000,0.0716,0.0000,0.0000,0.180,0.001,11.80,0.000,72.2
0.641,0.0823,-0.0000,0.0823,0.0000,0.0000,0.180,-0.000,11.76,0.000,70.0
0.683,0.0892,-0.0000,0.0892,0.0000,0.0000,0.180,-0.000,11.80,0.000,72.2
0.760,0.0966,-0.0000,0.0966,0.0000,0.0000,0.180,-0.000,11.76,0.000,70.0
0.784,0.1073,-0.0000,0.1073,0.0000,0.0000,0.180,-0.001,11.76,0.000,70.0
0.847,0.1144,-0.0000,0.1144,0.0000,0.0000,0.180,-0.001,11.80,0.000,72.2
0.893,0.1217,-0.0000,0.1217,0.0000,0.0000,0.180,-0.001,11.80,0.000,72.2
0.941,0.1326,-0.0000,0.1326,0.0000,0.0000,0.180,-0.000,11.76,0.000,70.0
1.007,0.1399,-0.0000,0.1399,0.0000,0.0000,0.180,0.000,11.82,0.000,73.3
1.043,0.1474,-0.0000,0.1474,0.0000,0.0000,0.180,0.000,11.80,0.000,72.2
1.085,0.1583,-0.0000,0.1583,0.0000,0.0000,0.180,-0.000,11.76,0.000,70.0
1.153,0.1657,-0.0000,0.1657,0.0000,0.0000,0.180,-0.000,11.80,0.000,72.2
1.189,0.1731,-0.0000,0.1731,0.0000,0.0000,0.180,0.000,11.80,0.000,72.2
1.236,0.1838,-0.0000,0.1838,0.0000,0.0000,0.180,0.000,11.76,0.000,70.0
1.293,0.1910,-0.0000,0.1910,0.0000,0.0000,0.180,0.001,11.80,0.000,72.2
1.340,0.1984,-0.0000,0.1984,0.0000,0.0000,0.180,0.003,11.78,0.000,71.1
1.382,0.2091,-0.0001,0.2091,0.0000,0.0001,0.180,0.003,11.76,0.000,70.0
1.449,0.2164,-0.0001,0.2164,0.0000,0.0001,0.180,0.004,11.80,0.000,72.2
1.502,0.2272,-0.0001,0.2272,0.0000,0.0001,0.180,0.006,11.80,0.000,72.2
1.537,0.2343,-0.0002,0.2343,0.0000,0.0002,0.180,0.007,11.78,0.000,71.1
1.595,0.2416,-0.0002,0.2416,0.0000,0.0002,0.180,0.007,11.82,0.000,73.3
1.643,0.2526,-0.0002,0.2526,0.0000,0.0002,0.180,0.008,11.78,0.000,71.1
1.685,0.2596,-0.0003,0.2596,0.0000,0.0003,0.180,0.008,11.80,0.000,72.2
1.744,0.2670,-0.0003,0.2670,0.0000,0.0003,0.180,0.008,11.80,0.000,72.2
1.786,0.2777,-0.0003,0.2777,0.0000,0.0003,0.180,0.008,11.76,0.000,70.0
1.853,0.2847,-0.0004,0.2847,0.0000,0.0004,0.180,0.007,11.80,0.000,72.2
