t,x,y,ref_x,ref_y,err,v,w,V,I,%
0.006,0.0000,0.0000,0.0000,0.0000,0.0000,0.180,-0.041,12.06,0.000,86.7
0.067,0.0000,0.0000,0.0000,0.0000,0.0000,0.180,-0.041,11.91,0.000,78.3
0.118,0.0000,0.0000,0.0000,0.0000,0.0000,0.180,-0.041,11.78,0.000,71.1
0.153,0.0064,0.0000,0.0064,0.0000,0.0000,0.180,-0.049,11.87,0.000,76.1
0.216,0.0137,0.0001,0.0137,0.0000,0.0001,0.180,-0.053,11.89,0.000,77.2
0.265,0.0215,0.0001,0.0215,0.0000,0.0001,0.180,-0.049,11.87,0.000,76.1
0.307,0.0331,0.0001,0.0331,0.0000,0.0001,0.180,-0.044,11.89,0.000,77.2
0.353,0.0409,0.0001,0.0409,0.0000,0.0001,0.180,-0.037,11.89,0.000,77.2
0.413,0.0486,0.0000,0.0486,0.0000,0.0000,0.180,-0.029,11.87,0.000,76.1
0.455,0.0603,-0.0000,0.0603,0.0000,0.0000,0.180,-0.029,11.87,0.000,76.1
0.515,0.0679,-0.0001,0.0679,0.0000,0.0001,0.180,-0.023,11.87,0.000,76.1
0.565,0.0756,-0.0002,0.0756,0.0000,0.0002,0.180,-0.021,11.89,0.000,77.2
0.609,0.0873,-0.0003,0.0873,0.0000,0.0003,0.180,-0.014,11.87,0.000,76.1
0.666,0.0948,-0.0004,0.0948,0.0000,0.0004,0.180,-0.014,11.85,0.000,75.0
0.713,0.1025,-0.0005,0.1025,0.0000,0.0005,0.180,-0.013,11.89,0.000,77.2
0.754,0.1142,-0.0006,0.1142,0.0000,0.0006,0.180,-0.013,11.89,0.000,77.2
0.803,0.1218,-0.0007,0.1218,0.0000,0.0007,0.180,-0.012,11.85,0.000,75.0
0.862,0.1293,-0.0008,0.1293,0.0000,0.0008,0.180,-0.012,11.87,0.000,76.1
0.906,0.1409,-0.0009,0.1409,0.0000,0.0009,0.180,-0.012,11.89,0.000,77.2
0.954,0.1486,-0.0010,0.1486,0.0000,0.0010,0.180,-0.011,11.87,0.000,76.1
1.012,0.1562,-0.0012,0.1562,0.0000,0.0012,0.180,-0.007,11.87,0.000,76.1
1.055,0.1678,-0.0013,0.1678,0.0000,0.0013,0.180,-0.007,11.89,0.000,77.2
1.116,0.1755,-0.0014,0.1755,0.0000,0.0014,0.180,-0.007,11.85,0.000,75.0
1.163,0.1832,-0.0016,0.1832,0.0000,0.0016,0.180,-0.004,11.87,0.000,76.1
1.206,0.1943,-0.0017,0.1943,0.0000,0.0017,0.180,-0.004,11.87,0.000,76.1
1.254,0.2022,-0.0019,0.2022,0.0000,0.0019,0.180,-0.005,11.87,0.000,76.1
1.310,0.2099,-0.0020,0.2099,0.0000,0.0020,0.180,-0.004,11.85,0.000,75.0
1.355,0.2217,-0.0022,0.2217,0.0000,0.0022,0.180,-0.004,11.89,0.000,77.2
1.426,0.2296,-0.0023,0.2296,0.0000,0.0023,0.180,-0.005,11.87,0.000,76.1
1.463,0.2372,-0.0024,0.2372,0.0000,0.0024,0.180,-0.005,11.89,0.000,77.2
1.502,0.2488,-0.0026,0.2488,0.0000,0.0026,0.180,-0.005,11.87,0.000,76.1
1.553,0.2566,-0.0027,0.2566,0.0000,0.0027,0.180,-0.005,11.89,0.000,77.2
1.613,0.2643,-0.0028,0.2643,0.0000,0.0028,0.180,-0.002,11.85,0.000,75.0
1.655,0.2757,-0.0030,0.2757,0.0000,0.0030,0.180,-0.002,11.85,0.000,75.0
1.729,0.2835,-0.0032,0.2835,0.0000,0.0032,0.180,-0.002,11.89,0.000,77.2
1.759,0.2913,-0.0033,0.2913,0.0000,0.0033,0.180,-0.001,11.89,0.000,77.2
1.806,0.3026,-0.0035,0.3026,0.0000,0.0035,0.180,-0.001,11.87,0.000,76.1
