t,x,y,ref_x,ref_y,err,v,w,V,I,%
0.001,0.0000,0.0000,0.0000,0.0000,0.0000,0.144,-0.000,11.95,0.000,80.5
0.041,0.0000,0.0000,0.0000,0.0000,0.0000,0.144,-0.000,11.95,0.000,80.5
0.080,0.0000,0.0000,0.0000,0.0000,0.0000,0.173,-0.000,11.60,0.000,61.1
0.140,0.0005,-0.0000,0.0005,0.0000,0.0000,0.179,0.001,11.62,0.000,62.2
0.190,0.0047,-0.0000,0.0047,0.0000,0.0000,0.179,0.001,11.73,0.000,68.3
0.235,0.0137,0.0000,0.0137,0.0000,0.0000,0.180,-0.001,11.73,0.000,68.3
0.279,0.0209,0.0000,0.0209,0.0000,0.0000,0.180,-0.000,11.76,0.000,70.0
0.337,0.0281,0.0000,0.0281,0.0000,0.0000,0.180,-0.000,11.74,0.000,68.9
0.383,0.0388,0.0000,0.0388,0.0000,0.0000,0.180,0.000,11.74,0.000,68.9
0.453,0.0462,0.0000,0.0462,0.0000,0.0000,0.180,-0.000,11.76,0.000,70.0
0.488,0.0533,0.0000,0.0533,0.0000,0.0000,0.180,0.000,11.74,0.000,68.9
0.529,0.0642,-0.0000,0.0642,0.0000,0.0000,0.180,0.000,11.73,0.000,68.3
0.593,0.0715,-0.0000,0.0715,0.0000,0.0000,0.180,0.001,11.74,0.000,68.9
0.635,0.0823,-0.0000,0.0823,0.0000,0.0000,0.180,0.001,11.73,0.000,68.3
0.684,0.0894,-0.0000,0.0894,0.0000,0.0000,0.180,0.001,11.73,0.000,68.3
0.744,0.0966,-0.0000,0.0966,0.0000,0.0000,0.180,0.001,11.76,0.000,70.0
0.787,0.1074,-0.0000,0.1074,0.0000,0.0000,0.180,-0.000,11.73,0.000,68.3
0.836,0.1144,-0.0000,0.1144,0.0000,0.0000,0.180,-0.001,11.74,0.000,68.9
0.894,0.1217,-0.0000,0.1217,0.0000,0.0000,0.180,-0.001,11.76,0.000,70.0
0.943,0.1325,-0.0000,0.1325,0.0000,0.0000,0.180,-0.001,11.71,0.000,67.2
1.007,0.1396,0.0000,0.1396,0.0000,0.0000,0.180,-0.003,11.76,0.000,70.0
1.047,0.1471,0.0000,0.1471,0.0000,0.0000,0.180,-0.004,11.76,0.000,70.0
1.084,0.1581,0.0001,0.1581,0.0000,0.0001,0.180,-0.004,11.73,0.000,68.3
1.147,0.1653,0.0001,0.1653,0.0000,0.0001,0.180,-0.005,11.76,0.000,70.0
1.187,0.1728,0.0001,0.1728,0.0000,0.0001,0.180,-0.004,11.76,0.000,70.0
1.232,0.1837,0.0001,0.1837,0.0000,0.0001,0.180,-0.004,11.73,0.000,68.3
1.284,0.1908,0.0001,0.1908,0.0000,0.0001,0.180,-0.004,11.74,0.000,68.9
1.339,0.1983,0.0001,0.1983,0.0000,0.0001,0.180,-0.001,11.78,0.000,71.1
1.380,0.2091,0.0001,0.2091,0.0000,0.0001,0.180,-0.001,11.74,0.000,68.9
1.442,0.2162,0.0001,0.2162,0.0000,0.0001,0.180,-0.000,11.76,0.000,70.0
1.493,0.2234,0.0001,0.2234,0.0000,0.0001,0.180,0.001,11.74,0.000,68.9
1.534,0.2342,0.0001,0.2342,0.0000,0.0001,0.180,0.003,11.73,0.000,68.3
1.591,0.2415,0.0001,0.2415,0.0000,0.0001,0.180,0.003,11.76,0.000,70.0
1.643,0.2487,0.0000,0.2487,0.0000,0.0000,0.180,0.004,11.74,0.000,68.9
1.681,0.2595,0.0000,0.2595,0.0000,0.0000,0.180,0.006,11.73,0.000,68.3
1.740,0.2667,-0.0000,0.2667,0.0000,0.0000,0.180,0.006,11.76,0.000,70.0
1.785,0.2739,-0.0000,0.2739,0.0000,0.0000,0.180,0.006,11.76,0.000,70.0
1.834,0.2848,-0.0001,0.2848,0.0000,0.0001,0.180,0.007,11.73,0.000,68.3
1.880,0.2920,-0.0001,0.2920,0.0000,0.0001,0.180,0.007,11.76,0.000,70.0
1.938,0.2992,-0.0002,0.2992,0.0000,0.0002,0.180,0.007,11.74,0.000,68.9
2.003,0.3099,-0.0002,0.3099,0.0000,0.0002,0.180,0.006,11.74,0.000,68.9
2.043,0.3170,-0.0002,0.3170,0.0000,0.0002,0.180,0.006,11.76,0.000,70.0
2.084,0.3278,-0.0002,0.3278,0.0000,0.0002,0.180,0.006,11.73,0.000,68.3
2.161,0.3349,-0.0003,0.3349,0.0000,0.0003,0.180,0.005,11.76,0.000,70.0
2.197,0.3423,-0.0003,0.3423,0.0000,0.0003,0.180,0.005,11.76,0.000,70.0
2.238,0.3531,-0.0003,0.3531,0.0000,0.0003,0.180,0.003,11.73,0.000,68.3
2.300,0.3604,-0.0003,0.3604,0.0000,0.0003,0.180,0.003,11.76,0.000,70.0
2.343,0.3679,-0.0003,0.3679,0.0000,0.0003,0.180,0.003,11.76,0.000,70.0
2.383,0.3789,-0.0003,0.3789,0.0000,0.0003,0.180,0.004,11.73,0.000,68.3
2.443,0.3861,-0.0003,0.3861,0.0000,0.0003,0.180,0.004,11.76,0.000,70.0
2.503,0.3935,-0.0004,0.3935,0.0000,0.0004,0.180,0.005,11.76,0.000,70.0
