file,trajectory,controller,IAE,ITAE,ISE,ICE,max_error,mean_error,final_error,settling_time,total_time,num_samples
compuesta_mpc_20251112_152650.csv,compuesta,mpc,0.190779,3.376247,0.002009,0.995397,0.012900,0.007119,0.003300,26.537000,26.536000,524
compuesta_mpc_20251112_152745.csv,compuesta,mpc,0.188524,3.338596,0.001918,1.005092,0.012900,0.008016,0.003300,26.667000,26.666000,458
compuesta_mpc_20251112_153013.csv,compuesta,mpc,0.184412,3.329425,0.001971,0.999525,0.012600,0.006924,0.003400,26.543000,26.542000,533
compuesta_mpc_20251112_153435.csv,compuesta,mpc,0.183698,3.222720,0.001868,0.999844,0.012500,0.006914,0.002600,26.542000,26.534000,532
compuesta_mpc_20251112_153528.csv,compuesta,mpc,0.174096,3.125717,0.001765,1.003654,0.013000,0.006535,0.002200,26.602000,26.601000,533
compuesta_mpc_20251112_153618.csv,compuesta,mpc,0.182892,3.256813,0.001911,1.001074,0.012400,0.006872,0.003400,26.546000,26.545000,532
compuesta_mpc_20251112_153714.csv,compuesta,mpc,0.184479,3.359813,0.001978,1.000057,0.012600,0.006965,0.005700,26.458000,26.457000,530
compuesta_mpc_20251112_153805.csv,compuesta,mpc,0.183232,3.234458,0.001867,1.000280,0.012500,0.006902,0.003400,26.526000,26.525000,531
compuesta_mpc_20251112_153858.csv,compuesta,mpc,0.166027,2.993094,0.001616,1.008926,0.012100,0.006221,0.002400,26.614000,26.613000,534
compuesta_mpc_20251112_153948.csv,compuesta,mpc,0.179925,3.208163,0.001880,0.999647,0.012400,0.006762,0.003200,26.544000,26.543000,532
compuesta_mpc_20251112_154043.csv,compuesta,mpc,0.187759,3.357049,0.002006,0.995892,0.012800,0.007074,0.003400,26.520000,26.514000,531
compuesta_mpc_20251112_154132.csv,compuesta,mpc,0.176596,3.227801,0.001867,1.000238,0.012400,0.006632,0.002800,26.626000,26.605000,533
compuesta_mpc_20251112_154221.csv,compuesta,mpc,0.186799,3.339192,0.001991,0.995884,0.012700,0.007026,0.003200,26.540000,26.539000,532
compuesta_mpc_20251112_154311.csv,compuesta,mpc,0.184127,3.268811,0.001928,0.999097,0.012600,0.006925,0.003100,26.523000,26.522000,532
compuesta_mpc_20251112_154403.csv,compuesta,mpc,0.178845,3.249942,0.001889,0.999468,0.012300,0.006714,0.002900,26.596000,26.595000,533
compuesta_mpc_20251112_154459.csv,compuesta,mpc,0.185071,3.293651,0.001954,0.998184,0.012600,0.006961,0.003200,26.532000,26.531000,532
compuesta_mpc_20251112_154557.csv,compuesta,mpc,0.177120,3.190502,0.001814,1.001641,0.012600,0.006662,0.002800,26.537000,26.536000,532
