t,x,y,ref_x,ref_y,err,v,w,V,I,%
0.027,0.0000,-0.0000,0.0000,0.0000,0.0000,0.180,-0.041,11.98,0.000,82.2
0.059,0.0000,0.0000,0.0000,0.0000,0.0000,0.180,-0.041,11.98,0.000,82.2
0.108,0.0000,-0.0000,0.0000,0.0000,0.0000,0.180,-0.041,11.65,0.000,63.9
0.160,0.0008,0.0000,0.0008,0.0000,0.0000,0.180,-0.041,11.69,0.000,66.1
0.198,0.0061,0.0000,0.0061,0.0000,0.0000,0.180,-0.043,11.80,0.000,72.2
0.262,0.0133,0.0000,0.0133,0.0000,0.0000,0.180,-0.048,11.82,0.000,73.3
0.308,0.0252,0.0000,0.0252,0.0000,0.0000,0.180,-0.043,11.78,0.000,71.1
0.359,0.0326,0.0000,0.0326,0.0000,0.0000,0.180,-0.039,11.80,0.000,72.2
0.420,0.0404,-0.0000,0.0404,0.0000,0.0000,0.180,-0.037,11.82,0.000,73.3
0.448,0.0523,-0.0001,0.0523,0.0000,0.0001,0.180,-0.032,11.82,0.000,73.3
0.503,0.0596,-0.0001,0.0596,0.0000,0.0001,0.180,-0.028,11.78,0.000,71.1
0.564,0.0669,-0.0001,0.0669,0.0000,0.0001,0.180,-0.024,11.80,0.000,72.2
0.601,0.0785,-0.0002,0.0785,0.0000,0.0002,0.180,-0.022,11.80,0.000,72.2
0.771,0.0860,-0.0003,0.0860,0.0000,0.0003,0.180,-0.022,11.82,0.000,73.3
0.775,0.0935,-0.0004,0.0935,0.0000,0.0004,0.180,-0.022,11.82,0.000,73.3
0.779,0.1051,-0.0005,0.1051,0.0000,0.0005,0.180,-0.017,11.82,0.000,73.3
1.041,0.1128,-0.0006,0.1128,0.0000,0.0006,0.180,-0.016,11.76,0.000,70.0
1.045,0.1244,-0.0007,0.1244,0.0000,0.0007,0.180,-0.016,11.76,0.000,70.0
1.047,0.1323,-0.0008,0.1323,0.0000,0.0008,0.180,-0.016,11.82,0.000,73.3
1.049,0.1402,-0.0009,0.1402,0.0000,0.0009,0.180,-0.016,11.84,0.000,74.4
1.050,0.1477,-0.0010,0.1477,0.0000,0.0010,0.180,-0.016,11.78,0.000,71.1
1.091,0.1595,-0.0011,0.1595,0.0000,0.0011,0.180,-0.005,11.78,0.000,71.1
1.115,0.1674,-0.0013,0.1674,0.0000,0.0013,0.180,-0.001,11.78,0.000,71.1
1.152,0.1790,-0.0015,0.1790,0.0000,0.0015,0.180,0.001,11.78,0.000,71.1
1.195,0.1865,-0.0016,0.1865,0.0000,0.0016,0.180,0.001,11.80,0.000,72.2
1.260,0.1943,-0.0018,0.1943,0.0000,0.0018,0.180,0.004,11.80,0.000,72.2
1.323,0.2019,-0.0019,0.2019,0.0000,0.0019,0.180,0.005,11.80,0.000,72.2
1.358,0.2134,-0.0022,0.2134,0.0000,0.0022,0.180,0.007,11.80,0.000,72.2
1.408,0.2212,-0.0023,0.2212,0.0000,0.0023,0.180,0.009,11.82,0.000,73.3
1.457,0.2289,-0.0025,0.2289,0.0000,0.0025,0.180,0.010,11.82,0.000,73.3
1.503,0.2404,-0.0027,0.2404,0.0000,0.0027,0.180,0.009,11.80,0.000,72.2
1.558,0.2482,-0.0029,0.2482,0.0000,0.0029,0.180,0.010,11.82,0.000,73.3
1.618,0.2559,-0.0031,0.2559,0.0000,0.0031,0.180,0.009,11.80,0.000,72.2
1.651,0.2674,-0.0033,0.2674,0.0000,0.0033,0.180,0.009,11.76,0.000,70.0
1.697,0.2750,-0.0035,0.2750,0.0000,0.0035,0.180,0.009,11.82,0.000,73.3
1.760,0.2827,-0.0036,0.2827,0.0000,0.0036,0.180,0.008,11.82,0.000,73.3
1.851,0.2940,-0.0038,0.2940,0.0000,0.0038,0.180,0.006,11.78,0.000,71.1
1.866,0.3013,-0.0040,0.3013,0.0000,0.0040,0.180,0.006,11.80,0.000,72.2
1.903,0.3128,-0.0042,0.3128,0.0000,0.0042,0.180,0.006,11.78,0.000,71.1
