t,x,y,ref_x,ref_y,err,v,w,voltage,current,percentage
0.001,-0.0015,0.0457,0.0000,0.0457,0.0015,0.018,0.900,12.090,0.000,88.330
0.058,-0.0015,0.0457,0.0000,0.0457,0.0015,0.018,0.900,12.090,0.000,88.330
0.400,-0.0015,0.0457,0.0000,0.0457,0.0015,0.018,0.900,12.090,0.000,88.330
0.401,-0.0015,0.0457,0.0000,0.0457,0.0015,0.018,0.900,12.090,0.000,88.330
0.402,-0.0015,0.0457,0.0000,0.0457,0.0015,0.018,0.900,12.110,0.000,89.440
0.404,-0.0015,0.0457,0.0000,0.0457,0.0015,0.018,0.900,12.090,0.000,88.330
0.405,-0.0015,0.0457,0.0000,0.0457,0.0015,0.018,0.900,12.090,0.000,88.330
0.407,-0.0015,0.0457,0.0000,0.0457,0.0015,0.018,0.900,12.110,0.000,89.440
0.408,-0.0015,0.0457,0.0000,0.0457,0.0015,0.018,0.900,12.110,0.000,89.440
0.453,-0.0015,0.0457,0.0000,0.0457,0.0015,0.020,0.990,12.060,0.000,86.660
0.512,-0.0015,0.0456,0.0000,0.0456,0.0015,0.020,0.990,12.040,0.000,85.550
0.552,-0.0015,0.0452,0.0000,0.0452,0.0015,0.020,0.999,12.040,0.000,85.550
0.600,-0.0014,0.0447,0.0000,0.0447,0.0014,0.020,0.999,12.040,0.000,85.550
0.659,-0.0014,0.0443,0.0000,0.0443,0.0014,0.020,1.000,12.040,0.000,85.550
0.704,-0.0012,0.0436,0.0000,0.0436,0.0012,0.020,1.000,12.020,0.000,84.440
0.764,-0.0011,0.0431,0.0000,0.0431,0.0011,0.020,1.000,12.020,0.000,84.440
0.809,-0.0010,0.0426,0.0000,0.0426,0.0010,0.020,1.000,12.040,0.000,85.550
0.852,-0.0007,0.0419,0.0000,0.0419,0.0007,0.020,1.000,12.040,0.000,85.550
0.900,-0.0006,0.0416,0.0000,0.0416,0.0006,0.020,1.000,12.040,0.000,85.550
0.966,-0.0003,0.0410,0.0000,0.0410,0.0003,0.020,1.000,12.020,0.000,84.440
1.005,-0.0001,0.0407,0.0000,0.0407,0.0001,0.020,1.000,12.040,0.000,85.550
