t,x,y,ref_x,ref_y,err,v,w,V,I,%
0.002,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.153,-0.008,12.02,0.000,84.4
0.035,-0.0000,0.0000,0.0000,0.0000,0.0000,0.180,0.001,11.87,0.000,76.1
0.086,-0.0000,0.0000,0.0000,0.0000,0.0000,0.180,-0.016,11.71,0.000,67.2
0.125,0.0029,0.0000,0.0029,0.0000,0.0000,0.180,-0.003,11.76,0.000,70.0
0.202,0.0091,0.0001,0.0091,0.0000,0.0001,0.180,-0.020,11.82,0.000,73.3
0.232,0.0199,0.0001,0.0199,0.0000,0.0001,0.180,-0.021,11.80,0.000,72.2
0.292,0.0272,0.0002,0.0272,0.0000,0.0002,0.180,-0.017,11.82,0.000,73.3
0.344,0.0346,0.0002,0.0346,0.0000,0.0002,0.180,-0.015,11.85,0.000,75.0
0.382,0.0462,0.0003,0.0462,0.0000,0.0003,0.180,-0.013,11.82,0.000,73.3
0.423,0.0539,0.0003,0.0539,0.0000,0.0003,0.180,-0.011,11.82,0.000,73.3
0.495,0.0617,0.0003,0.0617,0.0000,0.0003,0.180,-0.012,11.84,0.000,74.4
0.531,0.0733,0.0004,0.0733,0.0000,0.0004,0.180,-0.014,11.84,0.000,74.4
0.573,0.0811,0.0004,0.0811,0.0000,0.0004,0.180,-0.016,11.82,0.000,73.3
0.633,0.0888,0.0005,0.0888,0.0000,0.0005,0.180,-0.019,11.82,0.000,73.3
0.704,0.1000,0.0005,0.1000,0.0000,0.0005,0.180,-0.021,11.80,0.000,72.2
0.724,0.1077,0.0006,0.1077,0.0000,0.0006,0.180,-0.021,11.80,0.000,72.2
0.792,0.1150,0.0006,0.1150,0.0000,0.0006,0.180,-0.020,11.82,0.000,73.3
0.822,0.1265,0.0007,0.1265,0.0000,0.0007,0.180,-0.017,11.82,0.000,73.3
0.888,0.1339,0.0007,0.1339,0.0000,0.0007,0.180,0.013,11.78,0.000,71.1
0.925,0.1454,0.0007,0.1454,0.0000,0.0007,0.180,-0.008,11.82,0.000,73.3
1.004,0.1527,0.0007,0.1527,0.0000,0.0007,0.180,-0.011,11.82,0.000,73.3
1.035,0.1602,0.0007,0.1602,0.0000,0.0007,0.180,0.012,11.78,0.000,71.1
1.079,0.1716,0.0007,0.1716,0.0000,0.0007,0.180,0.003,11.82,0.000,73.3
1.123,0.1794,0.0007,0.1794,0.0000,0.0007,0.180,-0.005,11.82,0.000,73.3
1.184,0.1873,0.0007,0.1873,0.0000,0.0007,0.180,-0.003,11.80,0.000,72.2
1.227,0.1988,0.0007,0.1988,0.0000,0.0007,0.180,-0.004,11.82,0.000,73.3
1.284,0.2060,0.0007,0.2060,0.0000,0.0007,0.180,-0.003,11.82,0.000,73.3
1.333,0.2172,0.0006,0.2172,0.0000,0.0006,0.180,-0.002,11.82,0.000,73.3
1.374,0.2248,0.0006,0.2248,0.0000,0.0006,0.180,-0.001,11.78,0.000,71.1
