t,x,y,ref_x,ref_y,err,v,w,V,I,%
0.021,0.0000,-0.0000,0.0000,0.0000,0.0000,0.144,-0.001,11.97,0.000,81.7
0.077,0.0000,-0.0000,0.0000,0.0000,0.0000,0.173,-0.001,11.97,0.000,81.7
0.126,0.0000,-0.0000,0.0000,0.0000,0.0000,0.173,-0.001,11.71,0.000,67.2
0.167,0.0007,0.0000,0.0007,0.0000,0.0000,0.179,-0.003,11.56,0.000,58.9
0.228,0.0050,0.0000,0.0050,0.0000,0.0000,0.180,-0.004,11.73,0.000,68.3
0.274,0.0116,0.0000,0.0116,0.0000,0.0000,0.180,-0.004,11.76,0.000,70.0
0.322,0.0227,0.0001,0.0227,0.0000,0.0001,0.180,-0.004,11.73,0.000,68.3
0.366,0.0299,0.0001,0.0299,0.0000,0.0001,0.180,-0.006,11.73,0.000,68.3
0.424,0.0371,0.0001,0.0371,0.0000,0.0001,0.180,-0.007,11.74,0.000,68.9
0.464,0.0482,0.0002,0.0482,0.0000,0.0002,0.180,-0.007,11.73,0.000,68.3
0.524,0.0552,0.0002,0.0552,0.0000,0.0002,0.180,-0.008,11.73,0.000,68.3
0.569,0.0625,0.0002,0.0625,0.0000,0.0002,0.180,-0.007,11.74,0.000,68.9
0.619,0.0735,0.0003,0.0735,0.0000,0.0003,0.180,-0.007,11.73,0.000,68.3
0.672,0.0808,0.0003,0.0808,0.0000,0.0003,0.180,-0.006,11.73,0.000,68.3
0.723,0.0880,0.0003,0.0880,0.0000,0.0003,0.180,-0.004,11.74,0.000,68.9
0.760,0.0988,0.0003,0.0988,0.0000,0.0003,0.180,-0.004,11.73,0.000,68.3
0.824,0.1060,0.0003,0.1060,0.0000,0.0003,0.180,-0.003,11.71,0.000,67.2
0.882,0.1132,0.0003,0.1132,0.0000,0.0003,0.180,-0.003,11.74,0.000,68.9
0.920,0.1241,0.0003,0.1241,0.0000,0.0003,0.180,-0.002,11.74,0.000,68.9
1.017,0.1313,0.0003,0.1313,0.0000,0.0003,0.180,-0.002,11.73,0.000,68.3
1.019,0.1421,0.0003,0.1421,0.0000,0.0003,0.180,-0.002,11.74,0.000,68.9
1.065,0.1494,0.0003,0.1494,0.0000,0.0003,0.180,-0.002,11.74,0.000,68.9
1.126,0.1566,0.0003,0.1566,0.0000,0.0003,0.180,-0.001,11.73,0.000,68.3
1.167,0.1675,0.0003,0.1675,0.0000,0.0003,0.180,-0.001,11.74,0.000,68.9
1.232,0.1747,0.0003,0.1747,0.0000,0.0003,0.180,-0.002,11.73,0.000,68.3
1.272,0.1815,0.0003,0.1815,0.0000,0.0003,0.180,-0.002,11.73,0.000,68.3
1.334,0.1922,0.0003,0.1922,0.0000,0.0003,0.180,-0.002,11.73,0.000,68.3
1.372,0.1994,0.0003,0.1994,0.0000,0.0003,0.180,-0.002,11.74,0.000,68.9
1.424,0.2065,0.0003,0.2065,0.0000,0.0003,0.180,-0.004,11.73,0.000,68.3
1.464,0.2174,0.0004,0.2174,0.0000,0.0004,0.180,-0.004,11.73,0.000,68.3
1.526,0.2242,0.0004,0.2242,0.0000,0.0004,0.180,-0.005,11.74,0.000,68.9
1.567,0.2315,0.0004,0.2315,0.0000,0.0004,0.180,-0.007,11.73,0.000,68.3
1.618,0.2425,0.0004,0.2425,0.0000,0.0004,0.180,-0.008,11.73,0.000,68.3
1.677,0.2497,0.0005,0.2497,0.0000,0.0005,0.180,-0.008,11.74,0.000,68.9
1.724,0.2608,0.0005,0.2608,0.0000,0.0005,0.180,-0.008,11.71,0.000,67.2
1.768,0.2681,0.0005,0.2681,0.0000,0.0005,0.180,-0.007,11.73,0.000,68.3
1.826,0.2754,0.0005,0.2754,0.0000,0.0005,0.180,-0.006,11.74,0.000,68.9
1.872,0.2863,0.0006,0.2863,0.0000,0.0006,0.180,-0.006,11.73,0.000,68.3
1.917,0.2937,0.0006,0.2937,0.0000,0.0006,0.180,-0.004,11.74,0.000,68.9
2.012,0.3008,0.0006,0.3008,0.0000,0.0006,0.180,-0.004,11.73,0.000,68.3
2.021,0.3116,0.0006,0.3116,0.0000,0.0006,0.180,-0.004,11.74,0.000,68.9
2.069,0.3188,0.0006,0.3188,0.0000,0.0006,0.180,-0.002,11.73,0.000,68.3
2.125,0.3260,0.0006,0.3260,0.0000,0.0006,0.180,-0.001,11.73,0.000,68.3
2.170,0.3369,0.0005,0.3369,0.0000,0.0005,0.180,-0.001,11.74,0.000,68.9
2.233,0.3442,0.0005,0.3442,0.0000,0.0005,0.180,-0.001,11.71,0.000,67.2
2.278,0.3514,0.0005,0.3514,0.0000,0.0005,0.180,-0.001,11.73,0.000,68.3
2.318,0.3622,0.0005,0.3622,0.0000,0.0005,0.180,-0.000,11.74,0.000,68.9
2.379,0.3695,0.0005,0.3695,0.0000,0.0005,0.180,-0.000,11.74,0.000,68.9
2.425,0.3767,0.0005,0.3767,0.0000,0.0005,0.180,-0.000,11.73,0.000,68.3
2.511,0.3875,0.0005,0.3875,0.0000,0.0005,0.180,-0.001,11.73,0.000,68.3
2.527,0.3947,0.0005,0.3947,0.0000,0.0005,0.180,-0.001,11.73,0.000,68.3
2.573,0.4018,0.0005,0.4018,0.0000,0.0005,0.180,-0.001,11.74,0.000,68.9
2.633,0.4125,0.0005,0.4125,0.0000,0.0005,0.180,-0.002,11.73,0.000,68.3
2.667,0.4197,0.0005,0.4197,0.0000,0.0005,0.180,-0.004,11.74,0.000,68.9
2.725,0.4269,0.0005,0.4269,0.0000,0.0005,0.180,-0.004,11.73,0.000,68.3
2.772,0.4378,0.0005,0.4378,0.0000,0.0005,0.180,-0.005,11.74,0.000,68.9
2.823,0.4451,0.0006,0.4451,0.0000,0.0006,0.180,-0.007,11.74,0.000,68.9
2.871,0.4524,0.0006,0.4524,0.0000,0.0006,0.180,-0.008,11.74,0.000,68.9
2.930,0.4634,0.0006,0.4634,0.0000,0.0006,0.180,-0.008,11.73,0.000,68.3
2.965,0.4707,0.0006,0.4707,0.0000,0.0006,0.180,-0.008,11.74,0.000,68.9
3.022,0.4780,0.0007,0.4780,0.0000,0.0007,0.180,-0.006,11.73,0.000,68.3
3.067,0.4891,0.0007,0.4891,0.0000,0.0007,0.180,-0.006,11.74,0.000,68.9
3.124,0.4963,0.0007,0.4963,0.0000,0.0007,0.180,-0.006,11.73,0.000,68.3
3.169,0.5035,0.0007,0.5035,0.0000,0.0007,0.180,-0.004,11.74,0.000,68.9
3.215,0.5143,0.0007,0.5143,0.0000,0.0007,0.180,-0.004,11.73,0.000,68.3
3.308,0.5216,0.0007,0.5216,0.0000,0.0007,0.180,-0.003,11.76,0.000,70.0
3.330,0.5323,0.0007,0.5323,0.0000,0.0007,0.180,-0.003,11.76,0.000,70.0
3.402,0.5396,0.0007,0.5396,0.0000,0.0007,0.180,-0.002,11.74,0.000,68.9
3.444,0.5468,0.0007,0.5468,0.0000,0.0007,0.180,-0.001,11.74,0.000,68.9
3.506,0.5576,0.0006,0.5576,0.0000,0.0006,0.180,-0.001,11.76,0.000,70.0
3.519,0.5649,0.0006,0.5649,0.0000,0.0006,0.180,-0.001,11.74,0.000,68.9
3.576,0.5721,0.0006,0.5721,0.0000,0.0006,0.180,-0.001,11.73,0.000,68.3
3.621,0.5829,0.0006,0.5829,0.0000,0.0006,0.180,-0.001,11.76,0.000,70.0
3.665,0.5901,0.0006,0.5901,0.0000,0.0006,0.180,-0.001,11.73,0.000,68.3
3.726,0.5973,0.0006,0.5973,0.0000,0.0006,0.180,-0.000,11.73,0.000,68.3
3.771,0.6080,0.0006,0.6080,0.0000,0.0006,0.180,-0.000,11.76,0.000,70.0
3.822,0.6153,0.0006,0.6153,0.0000,0.0006,0.180,-0.001,11.74,0.000,68.9
3.894,0.6224,0.0006,0.6224,0.0000,0.0006,0.180,-0.001,11.74,0.000,68.9
3.923,0.6332,0.0006,0.6332,0.0000,0.0006,0.180,-0.001,11.74,0.000,68.9
3.968,0.6405,0.0006,0.6405,0.0000,0.0006,0.180,-0.003,11.73,0.000,68.3
4.037,0.6477,0.0006,0.6477,0.0000,0.0006,0.180,-0.004,11.73,0.000,68.3
4.065,0.6586,0.0006,0.6586,0.0000,0.0006,0.180,-0.006,11.74,0.000,68.9
4.125,0.6660,0.0006,0.6660,0.0000,0.0006,0.180,-0.006,11.74,0.000,68.9
4.173,0.6733,0.0006,0.6733,0.0000,0.0006,0.180,-0.006,11.73,0.000,68.3
4.218,0.6843,0.0006,0.6843,0.0000,0.0006,0.180,-0.004,11.74,0.000,68.9
4.278,0.6916,0.0006,0.6916,0.0000,0.0006,0.180,-0.003,11.74,0.000,68.9
4.323,0.6990,0.0006,0.6990,0.0000,0.0006,0.180,-0.003,11.73,0.000,68.3
4.366,0.7097,0.0006,0.7097,0.0000,0.0006,0.180,-0.001,11.76,0.000,70.0
4.431,0.7169,0.0006,0.7169,0.0000,0.0006,0.180,0.000,11.74,0.000,68.9
4.498,0.7242,0.0006,0.7242,0.0000,0.0006,0.180,0.001,11.74,0.000,68.9
4.519,0.7349,0.0006,0.7349,0.0000,0.0006,0.180,0.001,11.74,0.000,68.9
4.567,0.7422,0.0005,0.7422,0.0000,0.0005,0.180,0.002,11.74,0.000,68.9
4.623,0.7494,0.0005,0.7494,0.0000,0.0005,0.180,0.002,11.74,0.000,68.9
4.665,0.7603,0.0005,0.7603,0.0000,0.0005,0.180,0.002,11.74,0.000,68.9
4.727,0.7675,0.0005,0.7675,0.0000,0.0005,0.180,0.003,11.73,0.000,68.3
4.768,0.7747,0.0004,0.7747,0.0000,0.0004,0.180,0.002,11.74,0.000,68.9
4.817,0.7855,0.0004,0.7855,0.0000,0.0004,0.180,0.002,11.74,0.000,68.9
