t,x,y,ref_x,ref_y,err,v,w,V,I,%
0.001,-0.0000,0.0000,0.0000,0.0000,0.0000,0.144,-0.008,12.00,0.000,83.3
0.002,-0.0000,0.0000,0.0000,0.0000,0.0000,0.144,-0.008,12.00,0.000,83.3
0.079,-0.0000,0.0000,0.0000,0.0000,0.0000,0.173,-0.010,12.00,0.000,83.3
0.149,-0.0000,0.0000,0.0000,0.0000,0.0000,0.179,-0.010,11.98,0.000,82.2
0.154,-0.0000,0.0000,0.0000,0.0000,0.0000,0.179,-0.010,11.98,0.000,82.2
0.209,-0.0000,0.0000,0.0000,0.0000,0.0000,0.180,-0.009,11.63,0.000,62.8
0.254,0.0048,0.0000,0.0048,0.0000,0.0000,0.180,-0.009,11.76,0.000,70.0
0.317,0.0113,0.0001,0.0113,0.0000,0.0001,0.180,-0.010,11.80,0.000,72.2
0.356,0.0187,0.0001,0.0187,0.0000,0.0001,0.180,-0.010,11.76,0.000,70.0
0.407,0.0293,0.0002,0.0293,0.0000,0.0002,0.180,-0.010,11.78,0.000,71.1
0.454,0.0365,0.0002,0.0365,0.0000,0.0002,0.180,-0.011,11.78,0.000,71.1
0.498,0.0438,0.0003,0.0438,0.0000,0.0003,0.180,-0.011,11.76,0.000,70.0
0.553,0.0545,0.0003,0.0545,0.0000,0.0003,0.180,-0.010,11.78,0.000,71.1
0.628,0.0618,0.0004,0.0618,0.0000,0.0004,0.180,-0.008,11.78,0.000,71.1
0.648,0.0691,0.0004,0.0691,0.0000,0.0004,0.180,-0.008,11.78,0.000,71.1
0.733,0.0800,0.0004,0.0800,0.0000,0.0004,0.180,-0.007,11.78,0.000,71.1
0.753,0.0872,0.0004,0.0872,0.0000,0.0004,0.180,-0.007,11.78,0.000,71.1
0.816,0.0946,0.0004,0.0946,0.0000,0.0004,0.180,-0.006,11.76,0.000,70.0
0.864,0.1055,0.0005,0.1055,0.0000,0.0005,0.180,-0.006,11.78,0.000,71.1
0.919,0.1127,0.0005,0.1127,0.0000,0.0005,0.180,-0.004,11.76,0.000,70.0
1.007,0.1200,0.0005,0.1200,0.0000,0.0005,0.180,-0.004,11.76,0.000,70.0
1.008,0.1303,0.0005,0.1303,0.0000,0.0005,0.180,-0.004,11.76,0.000,70.0
1.043,0.1375,0.0005,0.1375,0.0000,0.0005,0.180,-0.004,11.74,0.000,68.9
1.098,0.1448,0.0005,0.1448,0.0000,0.0005,0.180,-0.003,11.76,0.000,70.0
1.154,0.1555,0.0005,0.1555,0.0000,0.0005,0.180,-0.003,11.76,0.000,70.0
1.198,0.1627,0.0005,0.1627,0.0000,0.0005,0.180,-0.003,11.74,0.000,68.9
1.250,0.1701,0.0005,0.1701,0.0000,0.0005,0.180,-0.003,11.76,0.000,70.0
1.294,0.1810,0.0005,0.1810,0.0000,0.0005,0.180,-0.004,11.76,0.000,70.0
1.363,0.1883,0.0005,0.1883,0.0000,0.0005,0.180,-0.004,11.76,0.000,70.0
1.398,0.1989,0.0006,0.1989,0.0000,0.0006,0.180,-0.006,11.76,0.000,70.0
1.449,0.2062,0.0006,0.2062,0.0000,0.0006,0.180,-0.006,11.76,0.000,70.0
1.533,0.2130,0.0006,0.2130,0.0000,0.0006,0.180,-0.007,11.76,0.000,70.0
1.543,0.2239,0.0006,0.2239,0.0000,0.0006,0.180,-0.008,11.74,0.000,68.9
1.600,0.2311,0.0007,0.2311,0.0000,0.0007,0.180,-0.008,11.76,0.000,70.0
1.647,0.2383,0.0007,0.2383,0.0000,0.0007,0.180,-0.008,11.78,0.000,71.1
1.697,0.2491,0.0007,0.2491,0.0000,0.0007,0.180,-0.008,11.76,0.000,70.0
1.740,0.2562,0.0007,0.2562,0.0000,0.0007,0.180,-0.008,11.74,0.000,68.9
1.802,0.2634,0.0008,0.2634,0.0000,0.0008,0.180,-0.007,11.76,0.000,70.0
1.852,0.2743,0.0008,0.2743,0.0000,0.0008,0.180,-0.006,11.76,0.000,70.0
1.900,0.2816,0.0008,0.2816,0.0000,0.0008,0.180,-0.005,11.74,0.000,68.9
1.946,0.2889,0.0008,0.2889,0.0000,0.0008,0.180,-0.005,11.78,0.000,71.1
